Feedback_ID,Client_ID,Survey_Date,NPS_Score,Comments
1,870,2024-05-08,1,Nobis possimus soluta sunt tempore aliquam laudantium rem. Deleniti nemo enim odio alias recusandae.
2,400,2024-07-20,0,Praesentium ratione reprehenderit qui minima nobis iure. Voluptatem quis non totam autem.
3,583,2025-05-07,7,
4,1289,2024-09-27,4,
5,425,2022-06-27,7,Eius blanditiis sapiente.
6,1121,2024-01-08,3,Amet soluta modi distinctio. Dolor excepturi velit quia voluptatum soluta itaque nihil.
7,735,2025-04-24,3,A quisquam deserunt rerum id harum voluptate. Neque quam explicabo nostrum dolorum.
8,322,2024-02-19,7,Doloremque cupiditate mollitia quae iste soluta. Expedita placeat quasi corporis. Neque minima ipsum blanditiis repudiandae sapiente expedita ea.
9,967,2025-04-08,2,
10,48,2023-04-12,9,
11,1255,2024-05-01,9,Rem numquam accusamus laborum atque sed. Officia nam natus explicabo deserunt asperiores.
12,398,2025-04-30,0,
13,433,2024-08-17,0,
14,694,2024-12-25,0,Saepe id ipsum sed laboriosam ex reprehenderit. Debitis dolore quis voluptatum dicta magnam. Recusandae architecto sit vitae sit voluptate.
15,426,2025-05-12,0,Earum veniam eligendi explicabo doloribus alias distinctio. Labore totam eaque sed praesentium. Nam facilis repudiandae illum blanditiis amet.
16,430,2024-07-19,10,
17,172,2024-01-24,2,Officia nostrum iste nisi aliquam laudantium delectus. Vitae libero porro. Non sapiente minus sit non amet magnam sapiente.
18,548,2025-02-02,1,Laboriosam tempora nihil. Nesciunt dolorum ipsa. Neque eveniet cum molestiae.
19,1013,2022-04-20,5,
20,629,2024-02-22,9,
21,242,2024-07-01,0,Assumenda voluptate cumque aspernatur officia itaque possimus. Voluptatum ratione ipsa optio quasi.
22,104,2021-07-17,9,
23,533,2023-10-25,8,Quibusdam voluptatem culpa. Ipsum cumque fugiat.
24,1122,2023-04-12,8,Repudiandae ea aperiam quo. Reprehenderit ad illo delectus ut.
25,393,2023-06-01,7,Magnam ea repellendus iure dolor. Similique qui quis. Cupiditate fugiat nostrum optio.
26,1278,2024-12-05,9,
27,742,2024-04-12,6,
28,1179,2023-07-20,1,Nam debitis est. Cumque nesciunt odit delectus dolor.
29,649,2025-04-10,9,Alias quia saepe minus tempora pariatur.
30,1337,2025-01-23,1,Et reprehenderit cumque.
31,407,2025-02-01,6,
32,1470,2024-12-02,3,Iure ratione voluptate voluptatibus ea. Error debitis mollitia expedita. Eaque vitae amet ut reprehenderit perferendis.
33,617,2025-02-28,9,Corrupti modi incidunt eius.
34,156,2024-11-02,3,
35,396,2024-11-15,3,Repellendus modi iste inventore eum dolorem. At eum enim a autem. Consequuntur ipsam voluptate architecto perferendis placeat corporis repellat.
36,785,2025-03-21,3,Debitis nulla impedit labore laborum.
37,77,2023-09-03,4,
38,734,2024-02-01,10,
39,400,2025-03-28,10,Nemo reprehenderit perspiciatis qui debitis quia asperiores.
40,785,2025-03-17,9,Ab facere adipisci dicta at assumenda tempore. Voluptate soluta doloremque ad sapiente.
41,1389,2025-02-21,9,Error harum iure omnis omnis quas culpa. Magnam architecto ea incidunt.
42,567,2024-06-14,3,
43,784,2022-06-17,9,Ad ab quas perspiciatis. Reiciendis in accusamus voluptatum amet impedit soluta. Adipisci ipsam velit mollitia nesciunt.
44,32,2023-05-31,6,Architecto amet voluptatum dolorem.
45,1259,2024-08-13,3,
46,1115,2023-02-08,5,
47,8,2024-08-07,10,
48,1033,2025-03-04,5,
49,117,2024-09-11,2,Fuga doloribus maiores voluptates tenetur.
50,887,2023-09-17,2,Culpa nam id quia maiores explicabo. Architecto ea beatae consequuntur adipisci blanditiis corrupti. Ipsum quibusdam omnis.
51,189,2022-08-22,2,Saepe est doloremque suscipit impedit quod sint. At quia culpa esse earum quas minima. Minima optio temporibus quidem.
52,57,2025-01-01,1,Quis nisi praesentium sunt quae.
53,1068,2025-03-25,9,Aspernatur iusto quam fugiat impedit soluta sint ad. Dolorem fugiat fuga vero. Placeat minus nobis similique.
54,826,2024-11-20,1,Eum nihil sint maiores sapiente accusamus incidunt quis. Possimus eum quis accusamus consectetur. Error eligendi incidunt minus.
55,516,2024-05-28,1,
56,440,2024-01-28,10,
57,286,2023-12-20,5,
58,348,2024-11-12,9,Voluptate officiis fuga ex harum.
59,1451,2024-05-09,4,Rem optio blanditiis inventore quo fugiat illo. Fuga molestias earum quaerat quia. Consectetur nesciunt impedit quae repellat non vel.
60,165,2022-11-10,9,
61,1086,2023-03-14,6,Aspernatur enim excepturi doloremque cupiditate delectus doloribus. Quibusdam exercitationem eius.
62,920,2025-03-29,10,Dolores vero modi odit deserunt. Cum nobis doloremque beatae sed in totam.
63,1402,2025-05-05,10,Maiores illo ratione at veritatis.
64,424,2025-04-05,8,Animi a eveniet voluptatibus fugiat quos sint sapiente.
65,593,2023-08-25,4,At architecto praesentium esse quibusdam laboriosam. Doloremque labore illo ut.
66,1081,2024-01-23,5,
67,97,2025-03-01,5,
68,352,2024-12-08,0,Sint a voluptate numquam placeat adipisci alias.
69,1131,2025-02-26,1,Doloremque assumenda atque dolores quod neque distinctio necessitatibus. Rem possimus ipsam error dolor expedita suscipit quam. Harum blanditiis possimus harum ducimus possimus magni nam.
70,926,2025-04-01,9,Qui doloremque fuga quia repudiandae qui.
71,342,2022-11-20,5,Neque vero illo asperiores laborum.
72,530,2024-12-07,1,
73,157,2024-11-05,9,Voluptates recusandae est magni nostrum incidunt at. Fugiat deserunt magnam distinctio rem minima at.
74,393,2021-01-05,6,
75,1484,2024-11-23,8,
76,1275,2024-11-10,9,Commodi veniam fuga minus.
77,1408,2025-04-28,5,Quod repellat officiis dolorum tempora nihil quibusdam. Fuga sunt officiis dolorem autem architecto.
78,1274,2024-06-02,10,
79,816,2023-08-08,5,Iusto unde accusamus mollitia. Consectetur ipsum quo tempore aspernatur cumque.
80,607,2025-02-15,7,
81,1487,2022-02-13,3,
82,1247,2024-11-17,0,Voluptatem illum dolore aut ut. Quaerat rem similique inventore reiciendis impedit accusamus earum. Rerum corrupti explicabo nulla mollitia eveniet.
83,922,2025-04-06,4,Unde saepe perferendis possimus ipsum vitae. Sit alias porro. Deleniti tempora minus distinctio laudantium.
84,274,2022-11-16,10,Perspiciatis debitis accusantium cum laborum nemo modi. Reprehenderit dolor vero earum enim mollitia.
85,39,2022-12-30,2,
86,1094,2024-10-25,6,Deleniti architecto laborum iure delectus consequatur eius neque. Fugiat corrupti similique nihil iste itaque cupiditate.
87,1302,2024-05-02,5,Mollitia aliquid cupiditate quo ea incidunt. Architecto asperiores porro sunt nisi.
88,1250,2022-08-27,7,Quibusdam odit sapiente. Quae impedit a magni fuga est officiis culpa. Natus cum aut exercitationem occaecati assumenda beatae distinctio.
89,181,2024-05-31,4,At eos impedit doloribus exercitationem.
90,190,2024-08-07,10,Nesciunt fuga quos sapiente quidem eveniet. Consequuntur consequatur ex dolore doloremque.
91,1100,2025-04-19,7,Nesciunt fugit expedita facilis. Dolorem voluptates error et.
92,1159,2021-03-21,9,
93,812,2025-04-23,7,
94,313,2024-03-02,4,Autem nisi cum reprehenderit ipsa quo facilis. Eveniet placeat repellat dolore velit autem unde omnis. Ullam quasi officiis quisquam dolorem esse.
95,1339,2024-10-08,10,Architecto deleniti consequatur totam.
96,228,2023-09-26,6,
97,999,2024-12-20,3,
98,421,2023-05-23,1,Debitis saepe odit aperiam rerum harum. Culpa non perspiciatis libero.
99,134,2024-02-23,7,Nam aliquam id quibusdam atque.
100,62,2025-01-15,5,Vero quod explicabo fuga doloremque fuga cupiditate. Quis commodi voluptas voluptatibus.
101,526,2024-06-22,2,
102,1334,2024-10-19,9,
103,976,2025-04-08,0,Exercitationem itaque cupiditate eius aperiam reiciendis iusto.
104,479,2025-04-19,0,
105,189,2024-03-02,8,Nemo aperiam illum quos eaque. Beatae odit dolorum architecto deleniti rem nisi modi.
106,1262,2024-02-16,9,Iste repudiandae placeat. Dolorum illo nam nam voluptatibus temporibus ducimus.
107,174,2021-09-22,1,Culpa aperiam iste omnis dolor vitae repudiandae. Minus libero et ratione eos doloremque dolorum.
108,161,2025-03-13,0,Exercitationem reprehenderit delectus quas.
109,1218,2024-02-12,9,
110,1251,2025-04-07,0,
111,168,2023-12-26,1,
112,1413,2025-02-23,2,Laudantium aperiam eaque tempora.
113,303,2023-12-05,4,
114,783,2024-06-11,6,Suscipit quaerat quod asperiores debitis unde voluptate. Vero voluptas excepturi illo beatae. Recusandae debitis veniam nihil consequatur.
115,960,2023-08-28,8,Sed eligendi veritatis.
116,702,2023-01-09,6,Consectetur animi modi. Perferendis deleniti ab occaecati similique accusantium praesentium. Necessitatibus cupiditate dignissimos quos optio aperiam.
117,1264,2023-05-25,2,Est quam facilis quos occaecati explicabo error perspiciatis. Fugiat ducimus assumenda doloribus ullam modi quisquam. Maiores voluptatibus expedita sequi asperiores temporibus hic officia.
118,118,2022-05-30,6,Consequuntur eveniet dolorum suscipit ex voluptate. Consectetur nesciunt cupiditate soluta eos illo placeat.
119,1034,2025-05-10,8,Nam sunt ducimus omnis cupiditate. Ea quas magnam dolorem vero dolore. Tempora enim earum est accusantium quae temporibus.
120,855,2023-06-12,6,
121,1195,2024-09-08,2,
122,88,2025-05-13,7,Nostrum quisquam explicabo nihil itaque commodi. Recusandae tempore dolore facere aliquam omnis excepturi eos. Dolorum nobis placeat rem ab tempore consectetur.
123,457,2024-07-06,4,Odit perspiciatis optio tempora necessitatibus maxime inventore quaerat. Cupiditate rerum nulla dignissimos culpa nam nesciunt.
124,334,2023-06-10,9,Animi odio laudantium quas. Fuga distinctio aliquid non deleniti. Doloremque atque debitis id ipsa.
125,67,2024-12-27,1,
126,261,2023-03-08,0,Autem alias distinctio nobis dolores voluptatum. Molestiae tempore est accusantium nostrum occaecati.
127,900,2024-02-03,2,
128,276,2022-01-05,0,Dignissimos a tempore fuga.
129,379,2024-10-26,1,Provident facere esse officia odit. Ipsam iure ad veritatis. Quod fugit distinctio voluptas ducimus culpa eum ea.
130,197,2023-12-02,3,
131,205,2025-01-14,5,Deserunt facere impedit suscipit placeat. Totam quam facere exercitationem. Ad earum numquam cumque.
132,575,2024-07-06,2,Aliquam corrupti deserunt.
133,399,2024-02-12,3,Illum sed illo recusandae dicta quasi.
134,454,2022-03-18,3,Beatae pariatur deleniti doloremque soluta blanditiis alias. Nam sapiente est non.
135,1500,2024-11-15,9,Perspiciatis ipsa ea vitae harum molestiae labore saepe. Assumenda neque excepturi sit corporis inventore.
136,902,2025-03-30,7,
137,269,2025-02-05,4,
138,1051,2025-02-25,9,
139,130,2025-05-13,5,
140,661,2024-09-09,10,
141,823,2025-05-02,3,
142,516,2022-03-07,8,Error magnam tempore cumque iure magni. Aperiam nostrum veritatis cum doloribus animi eum. Eveniet vel corrupti repellendus.
143,693,2025-01-29,4,Dicta sed esse dolores officia.
144,85,2024-02-20,2,Perspiciatis quis fugit iste omnis omnis. Fuga officia numquam nulla aspernatur. Nam adipisci aspernatur possimus.
145,200,2022-02-16,0,Maiores asperiores quam ratione ipsum. Odio cumque eum velit dolor. Ad velit eveniet enim.
146,753,2021-05-21,6,Quasi suscipit adipisci aspernatur iusto quas nostrum. Necessitatibus voluptatem error. Fuga sed accusamus pariatur maiores quia.
147,1299,2022-06-13,0,
148,1422,2025-02-03,0,
149,1491,2020-02-16,10,Nam repellendus ut. Impedit minus sapiente porro. Sapiente natus fuga expedita architecto incidunt adipisci.
150,608,2025-04-22,5,Exercitationem fugit eum magni culpa.
151,1058,2024-04-04,5,Rem quisquam sit vero quod unde labore. Similique sed quod molestias natus. Quos praesentium corporis voluptate ratione.
152,106,2024-11-24,9,Neque dolorum quam hic itaque voluptatum quos voluptatum. Optio molestiae amet minima voluptates iste. Deserunt non placeat reiciendis.
153,1427,2024-03-23,6,Labore repellat aliquam nostrum optio assumenda magnam. Ea distinctio quae.
154,808,2023-08-23,8,Cum laboriosam laudantium consequuntur earum voluptatibus.
155,1258,2021-12-29,8,
156,494,2022-07-02,3,Sequi maiores eaque eveniet blanditiis.
157,1156,2024-08-06,9,Eius quo cum quia temporibus nulla enim. Neque cumque voluptate veritatis cupiditate. Totam eos nisi necessitatibus in reprehenderit temporibus.
158,361,2021-08-24,0,
159,1440,2023-03-14,7,Quod magni illo adipisci veniam.
160,98,2024-02-15,6,Nemo laboriosam itaque labore. Perferendis sapiente praesentium. Magnam eligendi consectetur commodi unde commodi repellendus.
161,422,2025-03-21,9,Ad aut corrupti veniam molestias quisquam. Esse minima deleniti quidem quibusdam numquam. Recusandae nisi architecto suscipit.
162,237,2024-12-18,3,
163,603,2024-07-30,0,
164,179,2022-07-09,0,Veniam animi recusandae corporis reprehenderit accusamus. Distinctio eum ullam officiis eum magni a. Quidem magnam delectus exercitationem.
165,729,2024-11-17,7,
166,1255,2024-12-03,10,Corrupti quod quam blanditiis quae nostrum perferendis. Soluta nihil molestias officia.
167,1461,2024-11-02,8,
168,1282,2024-08-20,3,
169,949,2024-09-10,2,Delectus explicabo dolor sit id incidunt. Fugiat sint error quibusdam sit hic minus. Praesentium porro veniam quas id.
170,1394,2025-02-03,5,
171,1029,2024-06-01,4,At quasi laborum officia deserunt.
172,712,2025-02-26,2,Inventore eveniet consequuntur vero reiciendis sint voluptatibus quas. Modi incidunt fugit praesentium quos quas repellendus iure. Eligendi enim numquam.
173,1340,2021-01-07,6,Et dicta qui quidem eos omnis eos. Ut ullam illum. Impedit consequuntur doloribus soluta beatae ducimus.
174,1063,2023-12-27,2,Deserunt porro incidunt.
175,101,2024-10-18,2,Repudiandae ea nihil laudantium.
176,828,2024-08-31,7,Hic quia quasi repellat saepe alias. Animi laudantium nam rem. Eum magni veritatis culpa doloribus.
177,263,2022-04-27,1,
178,1242,2023-04-16,0,At delectus hic esse nisi dolorum consequuntur. Fugiat cumque maxime facilis iste ut. Temporibus aut debitis.
179,575,2023-11-11,10,Possimus consequuntur consequatur velit fugiat. Facere perspiciatis explicabo ad sapiente sit.
180,1001,2023-12-20,1,Animi debitis nihil corporis. Nesciunt sapiente omnis delectus eaque.
181,126,2025-04-20,9,
182,1485,2025-03-20,0,
183,1339,2024-03-20,7,Veritatis fuga nobis nemo amet accusantium necessitatibus. Veniam praesentium voluptate optio occaecati porro.
184,953,2023-08-07,3,Tempora ea consequatur illum modi. Eum dolor nostrum quia accusantium. Eveniet exercitationem soluta molestias maxime cumque.
185,771,2023-08-26,2,
186,777,2022-05-22,5,
187,1040,2023-07-07,6,Asperiores quisquam fugiat repellat sit fugit explicabo mollitia. Quasi occaecati consequatur dolorum nostrum consectetur aperiam. Porro vitae ex voluptates.
188,684,2022-06-29,1,Quia similique ex earum. Nulla labore odio iusto voluptates.
189,842,2021-04-23,7,
190,1418,2025-01-03,1,Eveniet recusandae porro similique at vero perspiciatis.
191,1057,2024-03-06,0,Animi modi quos magni cum facere nobis. Eaque dolores est quo similique molestiae. Maiores temporibus amet porro dolorum.
192,1168,2025-04-26,2,Nesciunt omnis ipsum dignissimos aut ullam. Ut ipsum repellat non vitae.
193,323,2022-03-07,3,Ab unde laudantium eaque quo corporis tenetur.
194,314,2024-07-15,9,Iusto nam hic perspiciatis est modi.
195,977,2025-03-23,1,
196,599,2023-06-20,8,Quisquam soluta facere maiores veniam assumenda quisquam.
197,1046,2023-06-22,1,
198,366,2025-02-02,7,Error nostrum aut asperiores nisi vero.
199,1427,2024-11-03,0,Quos magnam illum non doloribus pariatur veritatis.
200,1409,2025-03-18,9,
201,1412,2024-03-05,4,Rerum animi neque quis sapiente. Ducimus aliquid vitae quam eius voluptatibus sit. Laudantium praesentium enim.
202,9,2020-09-30,1,Deserunt magni labore optio. Odit qui qui.
203,1499,2025-03-16,9,Eaque quisquam alias vitae repellendus. Voluptates sit sit veritatis eius repudiandae.
204,739,2025-03-09,6,
205,196,2025-05-03,0,Praesentium quod error quod ad. Vitae dignissimos cupiditate molestiae aspernatur.
206,475,2024-12-09,2,In qui quod tempore quasi excepturi. Quis placeat nesciunt nobis aliquam aliquid.
207,962,2024-08-12,1,Consequatur doloremque mollitia asperiores inventore velit veritatis. Dolorem repellendus eius aliquid eveniet. Dolor fugit ipsum tenetur laudantium tempora.
208,1195,2024-01-12,6,Dignissimos adipisci quia quia odio laborum porro.
209,1115,2021-08-31,0,Laborum totam quas enim nam hic.
210,633,2023-03-28,10,Ipsa consectetur ad et corrupti. Quod dolorem id ea vel. Minus consequuntur occaecati dolore ea blanditiis nihil necessitatibus.
211,1171,2022-08-20,2,Deserunt magni accusamus magni omnis ipsa esse.
212,143,2025-04-26,8,Explicabo a quod nam voluptates. Placeat voluptatem consequatur dolores maiores laudantium mollitia.
213,1407,2023-08-30,6,
214,1125,2021-08-20,10,Quidem pariatur reiciendis saepe praesentium velit. Dignissimos occaecati numquam qui iure. Labore magni corporis iusto.
215,745,2024-11-13,0,
216,1143,2023-08-01,3,
217,259,2024-07-29,10,Occaecati non unde aliquam recusandae tempore. Quia voluptatum iusto. Dicta expedita voluptate id ut voluptatem esse.
218,1049,2024-05-29,9,
219,1145,2024-06-15,9,
220,1081,2024-03-14,10,Doloribus ipsum facere sequi facere illum amet. Ut perspiciatis odio numquam doloribus placeat.
221,1022,2023-10-28,8,Saepe repellat dolore beatae beatae.
