Finance_ID,Date,Total_Assets,Total_Liabilities,Total_Equity,Revenue,Expenses,Net_Profit,Report_Date,Currency,Created_At
1,2020-01-01,1209381.77,907142.56,302239.21,203307.91,133443.7,69864.22,2020-01-01,EUR,2025-05-21 20:57:55.631248
2,2020-01-02,2426510.25,1693773.62,732736.63,185424.71,153718.41,31706.3,2020-01-02,EUR,2025-05-21 20:57:55.631248
3,2020-01-03,3560735.76,2701336.18,859399.58,176085.06,147749.86,28335.21,2020-01-03,EUR,2025-05-21 20:57:55.631248
4,2020-01-04,4797888.02,3689448.58,1108439.44,149189.52,122692.78,26496.73,2020-01-04,EUR,2025-05-21 20:57:55.631248
5,2020-01-05,6011612.6,4615751.34,1395861.26,185910.91,133337.36,52573.55,2020-01-05,EUR,2025-05-21 20:57:55.631248
6,2020-01-06,7211665.01,5453654.05,1758010.96,168501.12,141553.31,26947.8,2020-01-06,EUR,2025-05-21 20:57:55.631248
7,2020-01-07,8395336.34,5832910.77,2562425.57,188057.71,127249.14,60808.57,2020-01-07,EUR,2025-05-21 20:57:55.631248
8,2020-01-08,9584687.42,6827851.4,2756836.02,183043.88,142378.95,40664.93,2020-01-08,EUR,2025-05-21 20:57:55.631248
9,2020-01-09,10771518.68,7218301.31,3553217.37,190353.9,144639.0,45714.9,2020-01-09,EUR,2025-05-21 20:57:55.631248
10,2020-01-10,11993880.42,9127693.17,2866187.25,163718.48,141782.45,21936.03,2020-01-10,EUR,2025-05-21 20:57:55.631248
11,2020-01-11,13183277.91,9095872.2,4087405.71,179312.52,153540.35,25772.16,2020-01-11,EUR,2025-05-21 20:57:55.631248
12,2020-01-12,14408319.96,9817443.34,4590876.62,171958.71,144248.14,27710.57,2020-01-12,EUR,2025-05-21 20:57:55.631248
13,2020-01-13,15584216.37,10355162.12,5229054.26,183835.44,153551.77,30283.67,2020-01-13,EUR,2025-05-21 20:57:55.631248
14,2020-01-14,16756661.05,12250635.79,4506025.26,208237.43,134065.85,74171.58,2020-01-14,EUR,2025-05-21 20:57:55.631248
15,2020-01-15,17946847.27,11963976.83,5982870.44,167483.32,147270.03,20213.3,2020-01-15,EUR,2025-05-21 20:57:55.631248
16,2020-01-16,19163552.65,14507409.82,4656142.83,152400.98,151403.57,997.41,2020-01-16,EUR,2025-05-21 20:57:55.631248
17,2020-01-17,20352685.83,13939872.82,6412813.01,171020.06,150911.79,20108.27,2020-01-17,EUR,2025-05-21 20:57:55.631248
