Financial_Metrics_ID,Date,Interest_Income,Interest_Expense,Average_Earning_Assets,Net_Income,Average_Total_Assets,Average_Equity,Created_At
1,2020-01-01,152480.93,40033.11,1209381.77,69864.22,1209381.77,302239.21,2025-05-21 20:58:13.022291
2,2020-01-02,139068.53,46115.52,1817946.01,31706.3,1817946.01,517487.92,2025-05-21 20:58:13.022291
3,2020-01-03,132063.79,44324.96,2398875.93,28335.21,2398875.93,631458.47,2025-05-21 20:58:13.022291
4,2020-01-04,111892.14,36807.83,2998628.95,26496.73,2998628.95,750703.72,2025-05-21 20:58:13.022291
5,2020-01-05,139433.18,40001.21,3601225.68,52573.55,3601225.68,879735.22,2025-05-21 20:58:13.022291
6,2020-01-06,126375.84,42465.99,4202965.57,26947.8,4202965.57,1026114.51,2025-05-21 20:58:13.022291
7,2020-01-07,141043.28,38174.74,4801875.68,60808.57,4801875.68,1245587.52,2025-05-21 20:58:13.022291
8,2020-01-08,137282.91,42713.69,5998347.91,40664.93,5998347.91,1596244.21,2025-05-21 20:58:13.022291
9,2020-01-09,142765.42,43391.7,7190491.98,45714.9,7190491.98,1999170.03,2025-05-21 20:58:13.022291
10,2020-01-10,122788.86,42534.74,8395226.93,21936.03,8395226.93,2285853.98,2025-05-21 20:58:13.022291
11,2020-01-11,134484.39,46062.1,9593139.77,25772.16,9593139.77,2711420.59,2025-05-21 20:58:13.022291
12,2020-01-12,128969.03,43274.44,10792669.39,27710.57,10792669.39,3167851.36,2025-05-21 20:58:13.022291
13,2020-01-13,137876.58,46065.53,11988748.16,30283.67,11988748.16,3663714.69,2025-05-21 20:58:13.022291
14,2020-01-14,156178.07,40219.75,13183223.12,74171.58,13183223.12,3941371.78,2025-05-21 20:58:13.022291
15,2020-01-15,125612.49,44181.01,14377817.38,20213.3,14377817.38,4402233.84,2025-05-21 20:58:13.022291
16,2020-01-16,114300.74,45421.07,15576679.38,997.41,15576679.38,4559794.62,2025-05-21 20:58:13.022291
17,2020-01-17,128265.04,45273.54,16770794.43,20108.27,16770794.43,5066455.45,2025-05-21 20:58:13.022291
18,2020-01-18,151185.2,46522.9,17970776.98,46503.93,17970776.98,5527047.25,2025-05-21 20:58:13.022291
19,2020-01-19,155218.51,38319.48,19170393.54,79226.41,19170393.54,5855624.5,2025-05-21 20:58:13.022291
20,2020-01-20,139791.73,47095.1,20376140.78,29405.3,20376140.78,6242095.04,2025-05-21 20:58:13.022291
21,2020-01-21,123775.3,51307.6,21589066.03,-5991.6,21589066.03,6577668.94,2025-05-21 20:58:13.022291
22,2020-01-22,140315.61,45620.14,22803309.95,35020.36,22803309.95,6949643.61,2025-05-21 20:58:13.022291
23,2020-01-23,137922.4,39315.75,24014582.97,52844.02,24014582.97,7329263.33,2025-05-21 20:58:13.022291
24,2020-01-24,122749.61,37301.64,25224726.07,39327.34,25224726.07,7441804.44,2025-05-21 20:58:13.022291
25,2020-01-25,134675.75,45898.51,26430151.78,26572.66,26430151.78,7786893.66,2025-05-21 20:58:13.022291
26,2020-01-26,123740.64,37940.33,27630681.03,38519.75,27630681.03,8111109.67,2025-05-21 20:58:13.022291
27,2020-01-27,125769.78,43460.79,28833261.13,22823.74,28833261.13,8395699.49,2025-05-21 20:58:13.022291
28,2020-01-28,117083.64,37147.54,30032423.98,32286.37,30032423.98,8840499.98,2025-05-21 20:58:13.022291
29,2020-01-29,148147.49,40403.08,31228752.36,62853.07,31228752.36,8855442.91,2025-05-21 20:58:13.022291
30,2020-01-30,119801.08,45613.06,32419646.16,7691.22,32419646.16,9268099.37,2025-05-21 20:58:13.022291
31,2020-01-31,158837.98,41196.13,33609513.74,74463.53,33609513.74,9561440.17,2025-05-21 20:58:13.022291
32,2020-02-01,138069.01,39954.7,34799636.52,50909.7,34799636.52,9383086.55,2025-05-21 20:58:13.022291
33,2020-02-02,120849.86,38882.71,35994562.58,31524.09,35994562.58,9885654.04,2025-05-21 20:58:13.022291
34,2020-02-03,138591.17,40097.27,37181923.53,51130.67,37181923.53,9838970.87,2025-05-21 20:58:13.022291
35,2020-02-04,116887.78,39908.31,38364645.35,22822.67,38364645.35,10130248.13,2025-05-21 20:58:13.022291
36,2020-02-05,136254.44,47589.29,39552632.07,23041.63,39552632.07,10770696.25,2025-05-21 20:58:13.022291
37,2020-02-06,154722.5,42990.31,40741230.81,62995.62,40741230.81,11193928.04,2025-05-21 20:58:13.022291
38,2020-02-07,133947.03,46579.81,41936656.73,23330.01,41936656.73,11309396.28,2025-05-21 20:58:13.022291
39,2020-02-08,133382.85,44296.16,43134930.6,30189.94,43134930.6,11715966.01,2025-05-21 20:58:13.022291
40,2020-02-09,130616.38,42590.82,44330343.36,32185.79,44330343.36,11601258.49,2025-05-21 20:58:13.022291
41,2020-02-10,141059.0,41079.22,45528426.3,51147.94,45528426.3,12313302.75,2025-05-21 20:58:13.022291
42,2020-02-11,146262.32,43000.0,46732568.39,51683.1,46732568.39,12968511.57,2025-05-21 20:58:13.022291
43,2020-02-12,136633.84,41625.71,47935095.2,43426.08,47935095.2,13260946.89,2025-05-21 20:58:13.022291
44,2020-02-13,152370.99,41282.26,49141542.08,65553.77,49141542.08,13875385.12,2025-05-21 20:58:13.022291
45,2020-02-14,131071.78,39230.04,50347258.4,43995.57,50347258.4,14325968.43,2025-05-21 20:58:13.022291
46,2020-02-15,109874.78,44740.21,51555545.79,-2634.33,51555545.79,15046760.67,2025-05-21 20:58:13.022291
47,2020-02-16,143512.13,37672.3,52760800.29,65775.19,52760800.29,15235759.51,2025-05-21 20:58:13.022291
48,2020-02-17,135499.16,41007.89,53968278.69,43972.58,53968278.69,15629858.76,2025-05-21 20:58:13.022291
49,2020-02-18,136605.32,39119.0,55177595.08,51743.75,55177595.08,15408341.59,2025-05-21 20:58:13.022291
50,2020-02-19,138477.83,37941.68,56383375.0,58164.84,56383375.0,15766344.55,2025-05-21 20:58:13.022291
51,2020-02-20,144073.62,45414.59,57590516.25,40716.18,57590516.25,15561471.6,2025-05-21 20:58:13.022291
52,2020-02-21,135218.92,40048.5,58792337.35,46796.89,58792337.35,16574092.86,2025-05-21 20:58:13.022291
53,2020-02-22,138722.57,47721.5,59987715.78,25891.78,59987715.78,17171285.7,2025-05-21 20:58:13.022291
54,2020-02-23,132478.86,41442.48,61184741.31,38496.87,61184741.31,18238132.1,2025-05-21 20:58:13.022291
55,2020-02-24,147892.57,41674.83,62380784.31,58274.0,62380784.31,18503163.75,2025-05-21 20:58:13.022291
