Fraud_ID,Client_ID,Transaction_ID,Fraud_Type,Detection_Date,Status,Resolved_Incidents
1,1,a3ab7119-197c-4185-8b87-c537aeccaafa,Card Fraud,2025-03-06,Resolved,1
2,2,8723070e-8db0-4ca5-81be-c1be0e67bdf3,Identity Theft,2025-04-15,Under Investigation,0
3,4,57bee3c0-fdae-4d30-8721-1c05f397ab0b,Card Fraud,2025-04-25,Under Investigation,0
4,5,e89a8034-ac84-4af6-b317-05ca7f9b67af,Identity Theft,2025-05-08,Under Investigation,0
5,5,ff90d5ec-9d4e-4290-bbf9-cc038f93019e,Money Laundering,2024-10-07,Resolved,1
6,7,05ed0195-3229-438c-bd97-2dc2d3d3918f,Money Laundering,2024-07-23,Under Investigation,0
7,7,2f6f8222-2dc3-42b9-9583-9b53d76e421a,Phishing,2024-11-22,Resolved,1
8,10,72dd15a0-5720-4179-b36d-ca9f3a601fd2,Card Fraud,2024-11-01,Resolved,1
9,10,a5f894b3-9243-4a68-b921-5beb238d460e,Account Takeover,2024-09-23,Under Investigation,0
10,10,d1a57bec-b37c-4231-83b7-88bdcd6cc176,Identity Theft,2024-06-06,Under Investigation,0
11,10,092d8967-47e1-4938-b9c2-041441851737,Phishing,2024-03-13,Under Investigation,0
12,11,09224056-bfb8-4e99-a853-7efe45193156,Money Laundering,2025-05-12,Under Investigation,0
13,13,deb501df-866b-4e3c-a345-0d9c64e8a5bc,Identity Theft,2024-02-21,Resolved,1
14,13,8160c590-7c83-4305-a44e-c02d9c76c351,Identity Theft,2025-03-02,Under Investigation,0
15,13,42b526c5-8fa8-4cc3-b0b9-380d6f966100,Card Fraud,2024-01-13,Resolved,1
16,14,656cb488-14b6-4280-bdc2-c1a211728cad,Account Takeover,2025-04-29,Resolved,1
17,18,30d7ce86-5e72-43a7-96ea-aa4ef2abb3f3,Phishing,2025-05-13,Resolved,1
18,19,027d7584-3f48-4732-b566-9c83f02781e5,Phishing,2025-05-16,Resolved,1
19,22,5a2c1022-b7d4-4f47-83b9-241f9b64e2b9,Card Fraud,2025-05-01,Resolved,1
20,22,04b8d493-fd01-41a1-8613-c004d4a73c2c,Account Takeover,2025-05-05,Under Investigation,0
21,24,208e20b3-a98c-44b2-a45d-92d764a0900a,Account Takeover,2025-02-14,Resolved,1
22,25,bb121c83-98b6-49d6-92c0-bc70ae9d6224,Money Laundering,2025-03-26,Under Investigation,0
23,25,faae48cd-ab93-4d3b-b5c1-61da2b6760a2,Account Takeover,2025-03-01,Under Investigation,0
24,26,033db879-194b-4b9d-ba2c-bd8279468132,Phishing,2025-05-09,Under Investigation,0
25,27,956aeb0e-9789-43c8-aa1c-5acdd492ecd8,Card Fraud,2025-04-12,Under Investigation,0
26,28,cd6ce7cf-0ba7-4baa-bf7c-87684919e40e,Phishing,2023-11-22,Under Investigation,0
27,29,14ed24fd-744d-414e-b894-e64cda15cc33,Account Takeover,2025-04-18,Under Investigation,0
28,29,5d945716-6c4a-4666-b0e7-bd737a873505,Card Fraud,2025-03-27,Under Investigation,0
29,30,20392421-c12b-4690-be10-9c407b84e93c,Card Fraud,2024-10-28,Under Investigation,0
30,30,d81d4a73-1201-4315-956a-ee92c69a992a,Card Fraud,2025-05-09,Under Investigation,0
31,31,ddd4293f-b7c2-4a7d-9d2c-b3f4c1d97beb,Identity Theft,2025-04-02,Under Investigation,0
32,31,b29b846b-6bd9-465f-8f9e-05b62a18e723,Money Laundering,2025-05-10,Resolved,1
33,31,e1cfcfdb-8b9e-4651-a16d-80288db9c531,Identity Theft,2025-04-01,Under Investigation,0
34,32,b351cd4a-dfb8-47d5-aa46-5aba93a185e3,Account Takeover,2024-06-27,Under Investigation,0
35,34,42ab398c-1601-4c22-a7b2-9dcb6595a30f,Account Takeover,2025-05-10,Resolved,1
36,34,b651085b-4a81-4d1d-8bcb-454109b978e2,Card Fraud,2024-10-25,Resolved,1
37,36,78436c23-5828-4eaf-a0bd-b36aa7246fcb,Money Laundering,2025-02-14,Resolved,1
38,36,7398d9fe-73d6-4532-b509-5b10479d531d,Card Fraud,2024-03-24,Resolved,1
39,36,99bab32d-2162-496e-aeb3-6648a0525bbe,Identity Theft,2025-04-16,Under Investigation,0
40,41,37c3965a-1070-4785-ab62-49b113cf8c01,Money Laundering,2025-03-01,Under Investigation,0
41,42,1e85811b-4694-42a0-88ea-11eb232e2467,Phishing,2025-01-19,Under Investigation,0
42,42,2eacd2ef-dee6-4947-822c-47efcad132f1,Card Fraud,2025-03-28,Resolved,1
43,44,c8fd993d-0a86-4af1-ba7d-2ad621cc1ec7,Card Fraud,2024-08-22,Under Investigation,0
44,44,711b055d-723b-4981-b275-ecf5b54fb364,Identity Theft,2023-04-13,Under Investigation,0
45,44,150f8ac3-d6d4-4263-af7c-7aeb6613a967,Card Fraud,2024-05-28,Under Investigation,0
46,45,7c0ebcca-74bc-4ace-92a3-5aed416cfe08,Identity Theft,2024-05-09,Resolved,1
47,45,d85f6348-7574-41b8-b228-fe49a7137ea4,Phishing,2023-09-26,Under Investigation,0
48,47,b4df7863-d107-4aad-ac93-af332975000d,Account Takeover,2023-06-19,Resolved,1
49,47,b77eafab-dd2b-4998-83c4-cb93e7e53b98,Card Fraud,2023-11-16,Under Investigation,0
50,48,83dd40a8-78cf-4e5e-8e5e-bbdca7d681c3,Identity Theft,2025-03-10,Resolved,1
51,48,5af05c8b-63dd-49cb-b1ad-001a158346d8,Money Laundering,2024-05-21,Under Investigation,0
52,49,2ab8e3fe-4eb2-463d-b027-74613c6c2723,Account Takeover,2025-02-23,Resolved,1
53,50,abf7d281-13b0-4dce-83ed-f932750b49c0,Phishing,2024-12-15,Resolved,1
54,50,b884840d-8dbb-4aad-a76a-4cde8830fa0c,Money Laundering,2024-09-11,Under Investigation,0
55,51,7e667bfa-0133-4b55-af18-df2084c55181,Account Takeover,2024-02-17,Under Investigation,0
56,52,83d99446-73ae-4838-a289-66d15b83ee6e,Account Takeover,2024-11-13,Resolved,1
57,53,7e4c8ff1-bc1a-460f-a782-bf39c4fe37ba,Account Takeover,2023-04-17,Resolved,1
58,53,bde79293-a8b0-435a-aaa9-1c774ce8a60c,Account Takeover,2024-09-28,Under Investigation,0
59,54,0bc21763-3e24-478e-912c-f8c013e40b7d,Card Fraud,2025-05-14,Under Investigation,0
60,55,955a0403-aaf1-4aa0-ab49-1b7046db9146,Account Takeover,2025-03-23,Resolved,1
61,55,02234d8a-923b-47e4-975c-66aad78604f5,Card Fraud,2024-11-27,Resolved,1
62,56,26d4eb1f-28e1-4951-8f2a-9fa9eda19ee2,Identity Theft,2024-10-22,Under Investigation,0
63,56,965467df-3adf-4c1e-8701-3750106eb7ff,Identity Theft,2025-02-13,Under Investigation,0
64,57,0e70537f-5dda-4212-94a4-afbb75e2d232,Identity Theft,2025-05-12,Under Investigation,0
65,57,b625d12a-cf70-4822-86ac-cb16588c165f,Money Laundering,2025-05-05,Resolved,1
66,57,3b59d412-ff12-4c07-954c-59d29a3ca542,Identity Theft,2025-05-12,Under Investigation,0
67,57,2bfa8199-b5bd-4bf3-ac71-1e71547cb6e8,Card Fraud,2025-04-28,Under Investigation,0
68,57,a72ea400-aa0b-4040-a2eb-b30046baf830,Phishing,2025-05-09,Resolved,1
69,57,bf91cbe2-2e36-4269-9770-3d230498c5d2,Card Fraud,2025-05-07,Resolved,1
70,59,be436efa-6e38-40b3-b26f-125e220d3bb2,Identity Theft,2024-08-13,Under Investigation,0
71,59,cf4e40ba-c081-4b8e-b27d-c99c66b704a0,Card Fraud,2023-08-05,Resolved,1
72,59,44c98109-c1ad-4189-b779-27501b9c3dca,Money Laundering,2024-01-13,Under Investigation,0
73,59,a67b1ef7-82bb-4241-aea2-e52c434951cf,Account Takeover,2023-09-22,Resolved,1
74,60,b5a2684b-c695-4b07-bc69-f9a1761688b8,Identity Theft,2025-04-29,Under Investigation,0
75,61,3fb248b9-8b5a-402b-a494-a2dd4ebbd4e3,Account Takeover,2024-11-24,Under Investigation,0
76,61,89967038-e00e-4700-83f2-e209a2cc9f2c,Identity Theft,2025-05-08,Under Investigation,0
77,62,fddcef5b-d406-4ac4-ac72-ef297ab9c7cd,Account Takeover,2023-05-29,Resolved,1
78,63,72125de5-d02c-4886-b0c8-32df78527100,Account Takeover,2024-12-15,Resolved,1
79,63,3f9f8505-ef08-4d8a-9c2e-6f09ec03df66,Phishing,2024-12-11,Resolved,1
80,63,3455e6c0-c214-4ad7-8816-817df9f20c67,Money Laundering,2025-05-06,Under Investigation,0
81,63,39450510-f829-4d2c-9bc8-daa06f5c43bb,Money Laundering,2025-02-25,Under Investigation,0
