Investment_ID,Client_ID,Type_Client,Account_ID,Investment_Type,Investment_Amount,Current_Value,Interest_Rate,Start_Date,Maturity_Date,Risk_Level,Status,Created_At,Updated_At
1,1,Individual,2,Fondo Renta Fija,40984.84,41472.6,2.5,2024-11-25,2027-11-25,Baja,Activo,2024-11-23 08:32:38,2024-12-21 04:31:24
2,2,Individual,5,Fondo Renta Fija,2714.49,2923.26,2.5,2021-05-10,2024-05-10,Baja,Vencido,2021-05-05 17:18:14,2022-02-22 18:06:05
3,2,Individual,4,Fondo Renta Fija,38193.1,41130.49,2.5,2021-04-28,2024-04-28,Baja,Vencido,2021-04-27 10:08:15,2025-02-14 04:28:13
4,3,Individual,8,Fondo Renta Variable,63369.64,66137.15,5.0,2024-07-03,2029-07-03,Media,Activo,2024-06-28 22:36:30,2025-01-08 06:59:53
5,4,Individual,9,Depósito a Plazo,2172.59,2198.64,1.2,2022-10-24,2023-10-24,Baja,Vencido,2022-10-17 17:09:45,2023-01-31 03:21:27
6,6,Individual,16,Fondo Renta Variable,67299.98,69186.87,5.0,2024-10-24,2029-10-24,Media,Activo,2024-10-22 13:26:32,2024-10-25 03:39:49
7,7,Empresa,17,Fondo Renta Fija,4038.48,4348.78,2.5,2020-08-27,2023-08-27,Baja,Vencido,2020-08-22 23:55:57,2022-06-26 17:49:25
8,7,Empresa,17,Fondo Renta Fija,32987.68,34825.61,2.5,2023-03-09,2026-03-09,Baja,Activo,2023-03-05 04:14:21,2025-02-20 06:57:13
9,9,Individual,22,Depósito a Plazo,16704.91,16822.62,1.2,2024-10-16,2025-10-16,Baja,Activo,2024-10-12 01:42:04,2024-11-12 15:55:09
10,10,Empresa,26,Depósito a Plazo,2966.21,2969.8,1.2,2025-04-12,2026-04-12,Baja,Activo,2025-04-08 04:36:03,2025-04-11 01:20:59
11,10,Empresa,25,Fondo Renta Fija,36089.51,38400.23,2.5,2022-11-13,2025-11-13,Baja,Activo,2022-11-08 10:40:27,2024-09-28 10:55:50
12,11,Individual,28,Fondo Renta Variable,75665.66,96580.36,5.0,2020-02-05,2025-02-05,Media,Vencido,2020-01-29 10:34:16,2024-03-27 10:40:45
13,14,Individual,34,Fondo Renta Fija,44826.93,48274.52,2.5,2021-03-13,2024-03-13,Baja,Vencido,2021-03-12 19:42:34,2023-09-14 04:09:42
14,14,Individual,34,Fondo Renta Variable,61003.76,67829.57,5.0,2023-03-17,2028-03-17,Media,Activo,2023-03-16 07:03:26,2024-01-27 16:06:04
15,17,Individual,40,Fondo Renta Fija,25619.7,26302.39,2.5,2024-04-25,2027-04-25,Baja,Activo,2024-04-20 15:20:24,2025-05-12 02:57:39
16,18,Empresa,42,Fondo Renta Fija,11348.98,11642.74,2.5,2024-05-06,2027-05-06,Baja,Activo,2024-05-04 01:09:26,2025-01-11 02:25:54
17,18,Empresa,43,Fondo Renta Fija,7321.82,7565.87,2.5,2024-01-20,2027-01-20,Baja,Activo,2024-01-15 19:08:35,2024-10-16 21:54:47
