Online_Service_Metrics_ID,Date,Total_Resolution_Time,Total_Requests
1,2020-01-01,5136,50
2,2020-01-02,6070,59
3,2020-01-03,7137,55
4,2020-01-04,5564,62
5,2020-01-05,6049,66
6,2020-01-06,5403,57
7,2020-01-07,5780,58
8,2020-01-08,5903,56
9,2020-01-09,4493,51
10,2020-01-10,4604,54
11,2020-01-11,5827,52
12,2020-01-12,4784,62
13,2020-01-13,8900,69
14,2020-01-14,6501,64
15,2020-01-15,8274,58
16,2020-01-16,4027,48
17,2020-01-17,6530,56
18,2020-01-18,5932,47
19,2020-01-19,5855,56
20,2020-01-20,5786,55
21,2020-01-21,4113,48
22,2020-01-22,5337,62
23,2020-01-23,6601,64
24,2020-01-24,6635,49
25,2020-01-25,7550,57
26,2020-01-26,5805,58
27,2020-01-27,5345,63
28,2020-01-28,7732,73
29,2020-01-29,7845,62
30,2020-01-30,6249,58
31,2020-01-31,4419,52
32,2020-02-01,5437,55
33,2020-02-02,5414,60
34,2020-02-03,4804,54
35,2020-02-04,6324,52
36,2020-02-05,6414,50
37,2020-02-06,7660,61
38,2020-02-07,6665,49
39,2020-02-08,7218,64
40,2020-02-09,6210,47
41,2020-02-10,6854,51
42,2020-02-11,5983,58
43,2020-02-12,4719,61
44,2020-02-13,5240,53
45,2020-02-14,7604,56
46,2020-02-15,5516,63
47,2020-02-16,5378,49
48,2020-02-17,5064,63
49,2020-02-18,10009,71
50,2020-02-19,6082,59
51,2020-02-20,5023,59
52,2020-02-21,4733,61
53,2020-02-22,4994,50
54,2020-02-23,4286,54
55,2020-02-24,8169,60
56,2020-02-25,7964,64
57,2020-02-26,4133,53
58,2020-02-27,6538,62
59,2020-02-28,7471,54
60,2020-02-29,6371,80
61,2020-03-01,4900,46
62,2020-03-02,9090,65
63,2020-03-03,6152,58
64,2020-03-04,6241,57
65,2020-03-05,4765,49
66,2020-03-06,4022,44
67,2020-03-07,7493,62
68,2020-03-08,6193,70
69,2020-03-09,7099,63
70,2020-03-10,6084,50
71,2020-03-11,3963,47
72,2020-03-12,7801,62
73,2020-03-13,8253,62
74,2020-03-14,7083,68
75,2020-03-15,6123,62
76,2020-03-16,8391,61
77,2020-03-17,7635,57
78,2020-03-18,6130,54
79,2020-03-19,7430,52
80,2020-03-20,5829,55
81,2020-03-21,7693,55
82,2020-03-22,5765,51
83,2020-03-23,7673,59
84,2020-03-24,6954,52
85,2020-03-25,6481,68
86,2020-03-26,5059,63
87,2020-03-27,7612,60
88,2020-03-28,5314,65
89,2020-03-29,5708,50
90,2020-03-30,6087,62
91,2020-03-31,7021,60
92,2020-04-01,9769,69
93,2020-04-02,6300,77
94,2020-04-03,6548,67
95,2020-04-04,6756,70
96,2020-04-05,5559,47
97,2020-04-06,7059,53
98,2020-04-07,8717,67
99,2020-04-08,8891,65
100,2020-04-09,9237,66
101,2020-04-10,6817,53
102,2020-04-11,6281,59
103,2020-04-12,5328,64
104,2020-04-13,7112,64
105,2020-04-14,5884,52
106,2020-04-15,5528,66
107,2020-04-16,9374,70
108,2020-04-17,8247,61
109,2020-04-18,5569,58
110,2020-04-19,5068,59
111,2020-04-20,7595,56
112,2020-04-21,8822,72
113,2020-04-22,4291,42
114,2020-04-23,5053,59
115,2020-04-24,6049,63
116,2020-04-25,8299,76
117,2020-04-26,6130,71
118,2020-04-27,7015,72
119,2020-04-28,5451,64
120,2020-04-29,6681,60
121,2020-04-30,4544,54
122,2020-05-01,7442,68
123,2020-05-02,3998,48
124,2020-05-03,5175,67
125,2020-05-04,6760,61
126,2020-05-05,5736,60
127,2020-05-06,6322,56
128,2020-05-07,4665,60
129,2020-05-08,7302,57
130,2020-05-09,5870,72
131,2020-05-10,5430,50
132,2020-05-11,7891,64
133,2020-05-12,7321,59
134,2020-05-13,5059,55
135,2020-05-14,10085,74
136,2020-05-15,7505,66
137,2020-05-16,7535,54
138,2020-05-17,4956,61
139,2020-05-18,4942,55
140,2020-05-19,8103,59
141,2020-05-20,6163,55
142,2020-05-21,5090,54
143,2020-05-22,4660,54
144,2020-05-23,5717,46
145,2020-05-24,5662,51
146,2020-05-25,9501,74
147,2020-05-26,7624,56
148,2020-05-27,6520,59
149,2020-05-28,8986,65
150,2020-05-29,4485,52
151,2020-05-30,4161,54
152,2020-05-31,6555,52
153,2020-06-01,4912,55
154,2020-06-02,6599,64
155,2020-06-03,6443,52
156,2020-06-04,5364,59
157,2020-06-05,5221,64
158,2020-06-06,5728,63
159,2020-06-07,7738,61
160,2020-06-08,5269,61
161,2020-06-09,5970,54
162,2020-06-10,7975,69
163,2020-06-11,7397,65
164,2020-06-12,4619,56
165,2020-06-13,8597,63
