Feedback_ID,Client_ID,Survey_Date,NPS_Score,Comments
1,6292,2022-11-30,9,
2,12899,2022-07-22,9,Great service!
3,21029,2025-01-01,10,
4,3684,2025-04-17,10,
5,15342,2025-04-15,10,Great service!
6,2254,2024-04-12,10,
7,2098,2024-05-15,9,
8,21074,2022-05-18,7,No issues so far.
9,17075,2023-11-26,9,Very satisfied with the app.
10,1689,2024-03-24,9,
11,10754,2024-02-20,10,
12,16243,2023-07-18,10,
13,18024,2025-01-25,9,Fast and easy transactions.
14,9943,2025-01-07,9,Staff were extremely helpful.
15,10305,2023-10-18,9,Staff were extremely helpful.
16,10404,2024-01-10,9,
17,19562,2024-07-02,10,Fast and easy transactions.
18,18144,2025-05-25,8,Average experience.
19,6933,2023-05-21,9,Great service!
20,19299,2023-06-04,9,Fast and easy transactions.
21,5087,2025-04-30,7,
22,12676,2025-05-21,9,Great service!
23,19689,2025-02-02,9,Staff were extremely helpful.
24,17472,2025-05-25,8,
25,24550,2020-10-27,4,App keeps crashing.
26,12943,2025-04-18,9,
27,2955,2024-08-15,10,Great service!
28,17942,2024-08-10,9,
29,20968,2021-10-31,9,
30,17162,2022-05-04,10,Fast and easy transactions.
31,12465,2024-02-23,9,Great service!
32,16465,2022-12-12,10,Staff were extremely helpful.
33,19389,2023-07-04,8,No issues so far.
34,9608,2024-04-16,10,Fast and easy transactions.
35,1520,2024-09-18,10,
36,20094,2021-02-26,10,Staff were extremely helpful.
37,21057,2021-07-10,10,Staff were extremely helpful.
38,24382,2025-04-16,9,
39,6902,2022-05-08,8,Service is OK.
40,10623,2023-11-26,10,
41,8766,2021-11-25,9,Great service!
42,23167,2025-03-18,10,
43,23880,2025-05-10,9,Great service!
44,3934,2024-02-08,10,Very satisfied with the app.
45,4862,2024-08-07,9,
46,8813,2023-11-20,10,Staff were extremely helpful.
47,9504,2025-01-04,10,
48,10584,2022-09-09,10,Staff were extremely helpful.
49,24187,2024-10-19,10,
50,22814,2024-06-17,9,
51,397,2023-06-13,10,Great service!
52,22088,2023-08-04,4,Fees are too high.
53,10377,2024-08-16,9,Very satisfied with the app.
54,21348,2023-03-26,7,Service is OK.
55,22220,2023-10-09,10,Staff were extremely helpful.
56,17281,2025-02-22,9,Very satisfied with the app.
57,6614,2025-03-12,10,Staff were extremely helpful.
58,21832,2025-02-16,10,
59,11747,2024-06-23,8,Average experience.
60,17954,2021-10-29,3,
61,10394,2024-06-28,10,Fast and easy transactions.
62,12970,2022-10-01,7,No issues so far.
63,7006,2025-01-15,9,Fast and easy transactions.
64,12692,2024-08-15,10,
65,20018,2023-07-28,3,
66,15581,2024-07-21,10,
67,10458,2024-10-15,4,
68,8009,2025-05-03,7,
69,24861,2021-11-17,10,Fast and easy transactions.
70,1918,2021-07-26,9,Fast and easy transactions.
71,2034,2021-10-27,9,Great service!
72,15548,2024-01-29,9,Very satisfied with the app.
73,7314,2022-11-12,9,
74,4372,2024-08-29,10,
75,23448,2025-03-24,9,Staff were extremely helpful.
76,24713,2022-08-18,8,Average experience.
77,15120,2023-10-27,10,Staff were extremely helpful.
78,4808,2023-04-09,7,No issues so far.
79,1303,2023-11-11,10,Great service!
80,14837,2024-07-08,10,
81,2963,2025-05-04,9,Staff were extremely helpful.
82,19919,2025-01-15,10,Staff were extremely helpful.
83,24427,2025-02-05,6,App keeps crashing.
84,16190,2021-06-22,10,Great service!
85,8444,2023-12-14,7,Nothing special to report.
86,6668,2024-09-27,10,Staff were extremely helpful.
87,23390,2025-04-01,10,
88,13365,2024-10-12,9,
89,14846,2025-04-08,9,
90,7252,2022-03-14,9,Fast and easy transactions.
91,7913,2024-11-18,10,
92,7290,2024-03-25,9,Fast and easy transactions.
93,177,2025-03-03,10,Staff were extremely helpful.
94,6539,2024-10-05,7,Average experience.
95,3000,2022-04-11,10,
96,24135,2024-09-22,9,
97,21207,2025-05-10,10,
98,24075,2023-10-16,8,
99,2990,2021-04-28,9,Great service!
100,15685,2024-11-06,10,Fast and easy transactions.
101,11777,2023-09-24,7,No issues so far.
102,1080,2024-05-01,8,Nothing special to report.
103,4327,2023-08-29,7,
104,4590,2023-06-22,9,Staff were extremely helpful.
105,18157,2023-04-10,9,
106,8900,2024-08-25,8,
107,9289,2021-09-13,7,Customer support was unhelpful.
108,5644,2024-09-11,9,
109,19118,2023-12-09,8,Nothing special to report.
110,11202,2025-03-05,8,
111,15291,2024-12-17,9,Fast and easy transactions.
112,7482,2025-03-04,7,Service is OK.
113,24582,2024-07-19,9,Great service!
114,17587,2022-09-29,10,
115,2510,2025-04-21,10,
116,21794,2024-09-22,8,Great service!
117,10118,2024-07-26,10,
118,11479,2022-07-26,9,
119,10911,2024-08-15,9,Great service!
120,3364,2022-10-31,10,Fast and easy transactions.
121,22734,2024-07-23,10,
122,14428,2023-09-12,7,Average experience.
123,21329,2025-05-03,9,Very satisfied with the app.
124,5322,2024-11-19,9,
125,8718,2023-05-29,10,Great service!
126,22313,2024-10-25,7,
127,20756,2022-02-23,3,
128,16384,2025-03-15,9,Average experience.
129,1045,2024-10-10,7,Average experience.
130,11863,2025-05-13,9,
131,5406,2024-05-12,9,Fast and easy transactions.
132,4668,2023-07-25,10,
133,7886,2024-12-07,10,Fast and easy transactions.
134,15311,2023-05-31,9,Fast and easy transactions.
135,7417,2025-05-09,9,
136,6448,2025-04-20,10,Great service!
137,10235,2023-07-11,9,
138,3704,2022-02-08,10,Fast and easy transactions.
139,8582,2025-02-04,10,Great service!
140,18008,2021-09-13,10,
141,9169,2025-04-20,9,
142,12606,2024-04-21,10,
143,13078,2022-10-28,10,Great service!
144,6681,2022-08-24,7,Service is OK.
145,9782,2024-06-25,7,
146,7742,2024-01-11,10,
147,21204,2025-05-22,10,Staff were extremely helpful.
148,1642,2022-09-18,9,
149,21100,2023-05-10,9,Fast and easy transactions.
150,15980,2024-06-18,10,
151,21806,2022-10-02,10,Fast and easy transactions.
152,12215,2024-11-03,10,Fast and easy transactions.
153,15947,2024-05-20,10,
154,8298,2024-10-09,9,
155,9597,2022-10-22,9,
156,4402,2021-10-26,9,Great service!
157,5035,2023-04-03,10,Fast and easy transactions.
158,19979,2023-11-11,9,Very satisfied with the app.
159,8307,2024-11-12,8,
160,2016,2025-04-30,7,Staff were extremely helpful.
161,14761,2023-04-29,8,No issues so far.
162,16656,2024-11-20,10,Staff were extremely helpful.
163,20779,2024-10-15,10,Very satisfied with the app.
164,7940,2025-05-25,9,Great service!
165,15896,2022-10-15,9,Great service!
166,420,2024-08-28,9,Staff were extremely helpful.
167,2534,2023-02-04,10,Great service!
168,4055,2023-02-26,6,Service is OK.
169,16567,2022-06-16,9,
170,3330,2024-06-19,9,Staff were extremely helpful.
171,23162,2020-10-24,9,Very satisfied with the app.
172,12827,2025-03-08,7,Very satisfied with the app.
173,6395,2022-10-04,9,
174,19820,2024-08-24,9,
175,24594,2023-03-01,7,
176,21533,2024-04-24,9,Fast and easy transactions.
177,21815,2024-12-10,8,Service is OK.
178,11585,2024-11-13,9,Fast and easy transactions.
179,24683,2024-04-05,10,
180,20731,2024-08-15,9,
181,14351,2022-04-10,9,Fast and easy transactions.
182,1961,2025-04-16,10,Fast and easy transactions.
183,14763,2023-01-13,9,Great service!
184,907,2022-10-23,10,Very satisfied with the app.
185,24819,2025-05-01,10,Staff were extremely helpful.
186,18086,2025-05-01,10,Staff were extremely helpful.
187,2355,2023-09-15,7,Fast and easy transactions.
188,24213,2025-05-15,9,Staff were extremely helpful.
189,24643,2025-02-12,10,
190,5684,2025-04-07,10,Great service!
191,9129,2024-03-25,9,Very satisfied with the app.
192,18324,2025-03-18,10,Fast and easy transactions.
193,22580,2023-08-21,9,Fast and easy transactions.
194,18108,2023-02-18,2,Customer support was unhelpful.
195,21312,2024-11-22,9,Fast and easy transactions.
196,2653,2025-04-26,10,Very satisfied with the app.
197,6009,2025-03-10,10,
198,12423,2024-05-04,9,
199,341,2024-10-10,7,
200,17380,2024-05-21,9,
201,20388,2023-05-17,9,
202,19493,2025-01-25,10,
203,10246,2023-06-23,7,
204,18664,2020-06-17,9,Great service!
205,16549,2025-03-07,10,Staff were extremely helpful.
206,21786,2022-06-27,9,
207,8416,2024-11-17,9,Great service!
208,1761,2023-12-01,10,Great service!
209,16160,2025-01-01,7,
210,22504,2024-03-09,9,Great service!
211,1025,2025-03-22,10,
212,3960,2023-04-30,9,
213,3819,2025-02-27,9,Fast and easy transactions.
214,19149,2024-03-21,7,Nothing special to report.
215,12327,2025-01-12,9,
216,5267,2025-04-12,10,Great service!
217,4641,2025-03-03,10,
218,30,2024-09-07,9,Great service!
219,23199,2024-08-17,10,Very satisfied with the app.
220,6010,2024-04-28,7,
221,15690,2023-05-07,7,Service is OK.
222,4167,2025-02-25,10,Staff were extremely helpful.
223,21278,2023-05-25,9,Very satisfied with the app.
224,9129,2024-10-31,10,Staff were extremely helpful.
225,341,2025-03-30,10,
226,8388,2024-06-11,10,Fast and easy transactions.
227,12437,2024-05-05,10,
228,18105,2023-11-11,10,Staff were extremely helpful.
229,4661,2024-08-20,10,Great service!
230,15732,2020-07-30,10,Staff were extremely helpful.
231,19038,2023-09-22,9,Fast and easy transactions.
232,17029,2023-09-11,9,Staff were extremely helpful.
233,10599,2024-10-29,10,Nothing special to report.
234,22767,2022-02-09,10,
235,17927,2024-09-05,7,
236,23478,2025-04-27,9,Great service!
237,18350,2024-05-09,9,Very satisfied with the app.
238,1611,2024-06-18,9,
239,20566,2025-03-25,9,
240,3580,2023-10-13,9,Fast and easy transactions.
241,6778,2021-07-06,7,
242,2576,2024-08-30,9,Great service!
243,1558,2024-11-03,8,Staff were extremely helpful.
244,8926,2023-03-22,8,Fees are too high.
245,9213,2024-07-26,9,Fast and easy transactions.
246,17962,2023-06-25,9,Staff were extremely helpful.
247,16614,2022-02-03,8,No issues so far.
248,5763,2024-03-09,9,Staff were extremely helpful.
249,13355,2025-02-25,9,Very satisfied with the app.
250,15132,2024-04-30,10,Very satisfied with the app.
251,1766,2023-05-22,9,
252,16887,2024-06-05,9,Staff were extremely helpful.
253,24979,2025-03-27,10,Staff were extremely helpful.
254,9102,2023-07-07,9,
255,18419,2022-12-28,10,
256,17925,2025-03-03,8,
257,8273,2023-06-15,8,Average experience.
258,1597,2025-04-29,9,Staff were extremely helpful.
259,4608,2022-11-21,10,Fast and easy transactions.
260,12751,2024-03-13,9,Fast and easy transactions.
261,3132,2025-02-14,9,Fast and easy transactions.
262,7059,2024-11-16,1,App keeps crashing.
263,16151,2025-01-23,9,
264,2617,2025-03-18,8,No issues so far.
265,16982,2023-12-31,10,Great service!
266,7448,2025-02-03,9,Fast and easy transactions.
267,6754,2024-12-13,10,Nothing special to report.
268,928,2024-07-14,7,
269,19744,2024-11-27,7,
270,18824,2025-01-22,9,Very satisfied with the app.
271,2733,2023-09-04,9,Great service!
272,18199,2022-11-07,10,
273,20448,2021-03-09,9,
274,14919,2023-09-23,10,Very satisfied with the app.
275,7626,2022-10-26,7,Service is OK.
276,19850,2024-12-29,10,
277,316,2023-09-05,9,Great service!
278,16874,2024-12-28,9,Very satisfied with the app.
279,3031,2024-09-18,8,No issues so far.
280,17669,2024-04-16,9,Long waiting times.
281,6254,2025-03-08,7,Average experience.
282,17708,2023-08-31,10,Very satisfied with the app.
283,18873,2024-12-30,9,Very satisfied with the app.
284,24827,2024-12-30,9,
285,828,2025-03-22,8,Average experience.
286,6690,2023-04-28,10,Great service!
287,14948,2023-03-19,9,
288,12277,2024-08-06,9,Great service!
289,11679,2024-08-11,9,Staff were extremely helpful.
290,10997,2023-02-13,9,Fast and easy transactions.
291,21416,2025-03-19,9,Fast and easy transactions.
292,10127,2023-08-15,9,
293,20834,2021-06-01,9,Very satisfied with the app.
294,1886,2024-07-28,9,Staff were extremely helpful.
295,1153,2024-02-09,10,
296,10652,2023-12-11,10,Staff were extremely helpful.
297,2877,2025-03-02,10,Staff were extremely helpful.
298,11221,2024-06-02,9,
299,20272,2023-09-03,10,Very satisfied with the app.
300,22521,2023-01-16,10,Great service!
301,16911,2025-04-04,9,
302,719,2025-02-20,9,Staff were extremely helpful.
303,2469,2024-08-19,8,Nothing special to report.
304,11882,2024-07-11,10,
305,933,2022-09-20,10,
306,11724,2024-10-21,10,Staff were extremely helpful.
307,12564,2024-05-14,9,
308,24237,2024-05-07,10,Very satisfied with the app.
