Customer_Growth_ID,Date,New_Customers,Previous_Customers
1,2020-01-31,411,0
2,2020-02-29,363,411
3,2020-03-31,352,774
4,2020-04-30,387,1126
5,2020-05-31,402,1513
6,2020-06-30,378,1915
7,2020-07-31,396,2293
8,2020-08-31,395,2689
9,2020-09-30,400,3084
10,2020-10-31,364,3484
11,2020-11-30,414,3848
12,2020-12-31,426,4262
13,2021-01-31,373,4688
14,2021-02-28,371,5061
15,2021-03-31,411,5432
16,2021-04-30,376,5843
17,2021-05-31,420,6219
18,2021-06-30,358,6639
19,2021-07-31,370,6997
20,2021-08-31,395,7367
21,2021-09-30,334,7762
22,2021-10-31,423,8096
23,2021-11-30,359,8519
24,2021-12-31,375,8878
25,2022-01-31,383,9253
26,2022-02-28,362,9636
27,2022-03-31,390,9998
28,2022-04-30,382,10388
29,2022-05-31,375,10770
30,2022-06-30,380,11145
31,2022-07-31,420,11525
32,2022-08-31,413,11945
33,2022-09-30,350,12358
34,2022-10-31,373,12708
35,2022-11-30,370,13081
36,2022-12-31,395,13451
37,2023-01-31,405,13846
38,2023-02-28,347,14251
39,2023-03-31,367,14598
40,2023-04-30,410,14965
41,2023-05-31,402,15375
42,2023-06-30,366,15777
43,2023-07-31,388,16143
44,2023-08-31,361,16531
45,2023-09-30,418,16892
46,2023-10-31,387,17310
47,2023-11-30,380,17697
48,2023-12-31,393,18077
49,2024-01-31,388,18470
50,2024-02-29,366,18858
51,2024-03-31,396,19224
52,2024-04-30,373,19620
53,2024-05-31,385,19993
54,2024-06-30,405,20378
55,2024-07-31,383,20783
56,2024-08-31,441,21166
57,2024-09-30,389,21607
58,2024-10-31,372,21996
59,2024-11-30,399,22368
60,2024-12-31,393,22767
61,2025-01-31,386,23160
62,2025-02-28,324,23546
63,2025-03-31,408,23870
64,2025-04-30,398,24278
65,2025-05-31,324,24676
