Customer_Satisfaction_ID,Date,Promoters,Detractors,Total_Surveys,Total_Scores
1,2020-01-01,4,2,9,66
2,2020-01-02,7,1,9,78
3,2020-01-03,5,2,8,62
4,2020-01-04,3,2,9,66
5,2020-01-05,4,2,8,61
6,2020-01-06,7,1,10,83
7,2020-01-07,4,1,7,57
8,2020-01-08,8,2,13,102
9,2020-01-09,3,0,5,44
10,2020-01-10,3,1,6,46
11,2020-01-11,7,1,11,91
12,2020-01-12,9,0,12,108
13,2020-01-13,8,0,9,84
14,2020-01-14,8,1,10,89
15,2020-01-15,7,1,10,84
16,2020-01-16,6,0,7,64
17,2020-01-17,5,0,7,60
18,2020-01-18,4,0,5,46
19,2020-01-19,6,0,9,81
20,2020-01-20,3,0,5,45
21,2020-01-21,13,0,15,139
22,2020-01-22,5,0,9,78
23,2020-01-23,2,1,3,22
24,2020-01-24,3,1,4,32
25,2020-01-25,6,1,8,71
26,2020-01-26,5,1,7,60
27,2020-01-27,7,0,8,75
28,2020-01-28,5,2,9,68
29,2020-01-29,4,3,12,88
30,2020-01-30,8,1,12,103
31,2020-01-31,2,1,4,33
32,2020-02-01,5,5,11,77
33,2020-02-02,6,1,8,66
34,2020-02-03,3,1,5,42
35,2020-02-04,7,1,10,83
36,2020-02-05,4,0,7,61
37,2020-02-06,5,1,6,52
38,2020-02-07,8,1,10,85
39,2020-02-08,6,0,9,80
40,2020-02-09,9,2,14,120
41,2020-02-10,8,0,11,100
42,2020-02-11,8,0,9,85
43,2020-02-12,5,2,9,76
44,2020-02-13,11,2,17,143
45,2020-02-14,6,0,6,57
46,2020-02-15,3,0,4,36
47,2020-02-16,8,0,11,100
48,2020-02-17,11,0,13,116
49,2020-02-18,4,0,6,53
50,2020-02-19,6,1,7,59
51,2020-02-20,5,2,7,54
52,2020-02-21,4,0,5,46
53,2020-02-22,5,1,7,56
54,2020-02-23,4,0,7,61
55,2020-02-24,6,0,7,63
56,2020-02-25,5,1,7,61
57,2020-02-26,4,1,7,53
58,2020-02-27,6,3,12,87
59,2020-02-28,6,1,8,69
60,2020-02-29,7,0,9,79
61,2020-03-01,4,1,6,50
62,2020-03-02,7,0,9,83
63,2020-03-03,7,2,12,96
64,2020-03-04,6,0,7,63
65,2020-03-05,7,1,11,89
66,2020-03-06,3,0,4,36
67,2020-03-07,11,0,14,127
68,2020-03-08,9,2,13,108
69,2020-03-09,11,1,12,111
70,2020-03-10,8,1,11,95
71,2020-03-11,4,2,8,57
72,2020-03-12,1,4,7,38
73,2020-03-13,6,1,10,81
74,2020-03-14,1,0,4,31
75,2020-03-15,8,1,11,93
76,2020-03-16,5,0,7,61
77,2020-03-17,3,0,4,35
78,2020-03-18,13,1,19,159
79,2020-03-19,7,0,9,80
80,2020-03-20,6,1,9,77
81,2020-03-21,4,1,7,59
82,2020-03-22,7,1,11,88
83,2020-03-23,6,2,10,85
84,2020-03-24,8,2,11,88
85,2020-03-25,2,4,11,73
86,2020-03-26,8,1,10,89
87,2020-03-27,10,0,11,102
88,2020-03-28,9,0,13,114
89,2020-03-29,5,0,8,70
90,2020-03-30,7,0,11,98
91,2020-03-31,5,1,9,71
92,2020-04-01,7,1,13,106
93,2020-04-02,5,1,10,84
94,2020-04-03,7,0,9,79
95,2020-04-04,3,0,4,35
96,2020-04-05,9,2,15,121
97,2020-04-06,8,2,12,98
98,2020-04-07,4,2,9,64
99,2020-04-08,4,0,9,77
100,2020-04-09,5,1,8,66
101,2020-04-10,7,1,8,69
102,2020-04-11,5,1,10,79
103,2020-04-12,3,1,5,40
104,2020-04-13,14,3,19,158
105,2020-04-14,5,2,12,91
106,2020-04-15,7,0,7,64
107,2020-04-16,7,0,8,75
108,2020-04-17,7,1,9,76
109,2020-04-18,5,1,11,91
110,2020-04-19,5,1,7,55
111,2020-04-20,6,0,9,79
112,2020-04-21,7,2,10,85
113,2020-04-22,11,0,12,112
114,2020-04-23,6,1,9,78
115,2020-04-24,4,1,6,48
116,2020-04-25,2,2,8,56
117,2020-04-26,7,0,8,76
118,2020-04-27,3,1,4,36
119,2020-04-28,11,2,15,129
120,2020-04-29,4,0,6,51
121,2020-04-30,10,0,11,102
122,2020-05-01,4,1,6,48
123,2020-05-02,3,0,3,30
124,2020-05-03,10,1,11,98
125,2020-05-04,7,3,10,80
126,2020-05-05,8,1,10,84
127,2020-05-06,5,1,7,60
128,2020-05-07,4,2,8,55
129,2020-05-08,3,2,8,57
130,2020-05-09,6,0,8,73
131,2020-05-10,6,0,6,56
132,2020-05-11,7,1,10,83
133,2020-05-12,11,0,12,111
134,2020-05-13,8,1,10,90
135,2020-05-14,7,1,11,90
136,2020-05-15,6,0,6,56
137,2020-05-16,5,1,9,72
138,2020-05-17,8,1,9,82
139,2020-05-18,10,2,14,118
140,2020-05-19,5,1,8,64
141,2020-05-20,4,2,9,71
142,2020-05-21,7,2,13,101
143,2020-05-22,6,0,7,65
144,2020-05-23,3,1,10,75
145,2020-05-24,8,0,10,90
146,2020-05-25,7,1,10,87
147,2020-05-26,5,1,7,60
148,2020-05-27,6,2,9,67
149,2020-05-28,3,1,7,56
150,2020-05-29,5,0,5,45
151,2020-05-30,8,0,9,86
152,2020-05-31,9,0,11,99
153,2020-06-01,8,1,10,88
154,2020-06-02,7,0,7,66
155,2020-06-03,10,3,13,104
156,2020-06-04,5,1,7,58
157,2020-06-05,9,2,15,120
158,2020-06-06,7,0,10,89
159,2020-06-07,4,0,5,45
160,2020-06-08,10,0,13,117
161,2020-06-09,6,0,8,73
162,2020-06-10,12,0,13,122
163,2020-06-11,5,1,9,72
164,2020-06-12,10,0,12,113
165,2020-06-13,6,4,13,91
166,2020-06-14,6,1,7,63
167,2020-06-15,6,0,9,78
168,2020-06-16,5,0,6,54
169,2020-06-17,3,1,5,41
170,2020-06-18,6,0,6,59
171,2020-06-19,5,1,7,60
172,2020-06-20,10,3,13,107
173,2020-06-21,9,1,15,126
174,2020-06-22,8,0,12,105
175,2020-06-23,9,0,10,95
176,2020-06-24,3,1,6,50
177,2020-06-25,5,0,7,61
178,2020-06-26,6,0,7,64
179,2020-06-27,8,2,11,89
180,2020-06-28,11,1,15,133
181,2020-06-29,6,0,6,56
182,2020-06-30,7,0,10,90
183,2020-07-01,10,1,12,106
184,2020-07-02,13,0,13,125
185,2020-07-03,5,1,8,65
186,2020-07-04,7,1,8,72
187,2020-07-05,4,3,7,47
188,2020-07-06,10,1,11,98
189,2020-07-07,3,1,6,47
190,2020-07-08,7,0,8,74
191,2020-07-09,4,0,4,38
192,2020-07-10,2,0,5,41
193,2020-07-11,12,2,14,126
194,2020-07-12,4,1,7,56
195,2020-07-13,8,2,10,80
196,2020-07-14,7,1,9,78
197,2020-07-15,9,0,9,84
198,2020-07-16,3,0,4,37
199,2020-07-17,7,0,8,76
200,2020-07-18,6,0,6,58
201,2020-07-19,7,1,8,68
202,2020-07-20,8,1,12,102
203,2020-07-21,5,0,7,60
204,2020-07-22,4,0,5,44
205,2020-07-23,9,1,11,95
206,2020-07-24,2,1,6,46
207,2020-07-25,7,0,10,89
208,2020-07-26,7,0,7,66
209,2020-07-27,2,1,5,36
210,2020-07-28,6,1,12,102
211,2020-07-29,4,2,8,60
212,2020-07-30,4,0,7,59
213,2020-07-31,11,0,11,101
214,2020-08-01,9,0,10,91
215,2020-08-02,7,2,10,83
216,2020-08-03,6,2,11,84
217,2020-08-04,9,0,11,99
218,2020-08-05,5,1,7,61
219,2020-08-06,6,0,7,65
220,2020-08-07,7,3,13,93
221,2020-08-08,8,2,11,96
222,2020-08-09,6,3,9,67
223,2020-08-10,2,0,2,19
224,2020-08-11,7,0,8,75
225,2020-08-12,3,3,10,69
