Digital_Engagement_ID,Date,New_Digital_Users,Total_Visitors,Cumulative_Users,Penetration_Rate
1,2020-01-05,269,782,269,0.0108
2,2020-01-12,237,704,506,0.0202
3,2020-01-19,223,686,729,0.0292
4,2020-01-26,253,770,982,0.0393
5,2020-02-02,223,641,1205,0.0482
6,2020-02-09,250,750,1455,0.0582
7,2020-02-16,213,626,1668,0.0667
8,2020-02-23,224,677,1892,0.0757
9,2020-03-01,236,705,2128,0.0851
10,2020-03-08,224,654,2352,0.0941
11,2020-03-15,200,587,2552,0.1021
12,2020-03-22,231,682,2783,0.1113
13,2020-03-29,216,658,2999,0.12
14,2020-04-05,210,626,3209,0.1284
15,2020-04-12,228,685,3437,0.1375
16,2020-04-19,212,647,3649,0.146
17,2020-04-26,234,686,3883,0.1553
18,2020-05-03,236,698,4119,0.1648
19,2020-05-10,234,688,4353,0.1741
20,2020-05-17,198,601,4551,0.182
21,2020-05-24,209,644,4760,0.1904
22,2020-05-31,199,599,4959,0.1984
23,2020-06-07,187,579,5146,0.2058
24,2020-06-14,203,612,5349,0.214
25,2020-06-21,200,605,5549,0.222
26,2020-06-28,175,529,5724,0.229
27,2020-07-05,221,653,5945,0.2378
28,2020-07-12,187,566,6132,0.2453
29,2020-07-19,186,549,6318,0.2527
30,2020-07-26,182,558,6500,0.26
31,2020-08-02,192,582,6692,0.2677
32,2020-08-09,185,541,6877,0.2751
33,2020-08-16,191,576,7068,0.2827
34,2020-08-23,154,465,7222,0.2889
35,2020-08-30,190,578,7412,0.2965
36,2020-09-06,156,494,7568,0.3027
37,2020-09-13,161,489,7729,0.3092
38,2020-09-20,170,502,7899,0.316
39,2020-09-27,185,565,8084,0.3234
40,2020-10-04,179,535,8263,0.3305
41,2020-10-11,158,464,8421,0.3368
42,2020-10-18,165,500,8586,0.3434
43,2020-10-25,149,442,8735,0.3494
44,2020-11-01,173,512,8908,0.3563
45,2020-11-08,149,446,9057,0.3623
46,2020-11-15,159,468,9216,0.3686
47,2020-11-22,162,500,9378,0.3751
48,2020-11-29,164,485,9542,0.3817
49,2020-12-06,152,461,9694,0.3878
50,2020-12-13,142,416,9836,0.3934
51,2020-12-20,153,465,9989,0.3996
52,2020-12-27,141,416,10130,0.4052
53,2021-01-03,175,544,10305,0.4122
54,2021-01-10,140,435,10445,0.4178
55,2021-01-17,125,382,10570,0.4228
56,2021-01-24,150,458,10720,0.4288
57,2021-01-31,119,348,10839,0.4336
58,2021-02-07,139,432,10978,0.4391
59,2021-02-14,131,397,11109,0.4444
60,2021-02-21,151,450,11260,0.4504
61,2021-02-28,136,417,11396,0.4558
62,2021-03-07,130,375,11526,0.461
63,2021-03-14,138,413,11664,0.4666
64,2021-03-21,123,366,11787,0.4715
65,2021-03-28,154,446,11941,0.4776
66,2021-04-04,139,414,12080,0.4832
67,2021-04-11,119,356,12199,0.488
68,2021-04-18,135,406,12334,0.4934
69,2021-04-25,146,443,12480,0.4992
70,2021-05-02,115,355,12595,0.5038
71,2021-05-09,125,372,12720,0.5088
72,2021-05-16,126,392,12846,0.5138
73,2021-05-23,140,427,12986,0.5194
74,2021-05-30,112,335,13098,0.5239
75,2021-06-06,119,348,13217,0.5287
76,2021-06-13,133,393,13350,0.534
