Interaction_ID,Client_ID,Channel,Action_Type,Resolution_Time
1,12081,Web,Consulta,14
2,1147,Web,Transfer,425
3,8197,Web,Login,400
4,5280,Call Center,Transfer,23
5,2208,Web,Transfer,203
6,12617,App,Transfer,54
7,24952,Web,Login,423
8,2657,Call Center,Login,305
9,20037,Web,Consulta,226
10,15868,App,Login,397
11,16606,Call Center,Transfer,253
12,5704,App,Login,453
13,5609,App,Login,214
14,1035,App,Transfer,438
15,14404,App,Transfer,230
16,11573,Web,Transfer,97
17,13835,Call Center,Login,53
18,1427,Call Center,Login,316
19,10288,Call Center,Login,480
20,1371,App,Transfer,326
21,5739,App,Transfer,99
22,10861,App,Transfer,250
23,13885,Web,Transfer,99
24,15425,App,Login,477
25,7881,Web,Login,256
26,6882,Web,Transfer,469
27,4940,Call Center,Login,430
28,4325,Web,Consulta,350
29,17776,Call Center,Consulta,265
30,20606,App,Consulta,367
31,8315,App,Transfer,191
32,7532,App,Login,75
33,7727,Call Center,Transfer,419
34,1501,Call Center,Transfer,436
35,21253,App,Transfer,364
36,9239,App,Transfer,66
37,11069,Web,Consulta,92
38,17974,App,Login,31
39,3461,Call Center,Login,239
40,13834,App,Consulta,19
41,6255,Web,Transfer,394
42,23529,App,Transfer,15
43,6997,Web,Transfer,25
44,11355,Call Center,Consulta,316
45,3103,Call Center,Consulta,49
46,13251,App,Transfer,264
47,19362,Web,Consulta,176
48,8904,Web,Login,99
49,12610,Call Center,Login,186
50,2309,Web,Transfer,383
51,14642,App,Consulta,198
52,11936,Call Center,Transfer,236
53,11753,Web,Login,262
54,10970,Call Center,Consulta,417
55,24963,App,Transfer,68
56,16926,App,Consulta,161
57,7751,Call Center,Login,110
58,15474,App,Login,372
59,19146,Call Center,Login,334
60,24234,Web,Login,410
61,22144,Call Center,Transfer,28
62,307,App,Consulta,96
63,2751,Web,Login,205
64,8020,Call Center,Transfer,199
65,17137,Call Center,Login,253
66,11280,Call Center,Consulta,43
67,10765,App,Login,420
68,18706,App,Login,169
69,8888,App,Transfer,97
70,5144,Call Center,Consulta,105
71,3091,App,Login,123
72,2429,App,Consulta,418
73,12459,Web,Consulta,281
74,8336,App,Login,445
75,6854,Web,Login,113
76,14054,App,Consulta,58
77,23681,Web,Transfer,216
78,19410,Call Center,Consulta,135
79,10280,Call Center,Login,411
80,20460,Call Center,Login,276
81,5154,Web,Consulta,141
82,19061,App,Login,176
83,16396,Call Center,Consulta,179
84,19420,Web,Login,146
85,11190,Call Center,Login,24
86,7292,Web,Consulta,244
87,20348,App,Login,19
88,15893,App,Login,424
89,21928,Web,Consulta,378
90,13001,App,Consulta,148
91,8617,Web,Consulta,331
92,16342,Web,Transfer,323
93,1687,Web,Consulta,212
94,10060,Call Center,Transfer,26
95,24514,App,Login,477
96,5829,Call Center,Login,302
97,14320,Call Center,Transfer,344
98,3713,Web,Consulta,288
99,6609,Web,Consulta,204
100,17805,Call Center,Login,474
101,9669,App,Consulta,66
102,19077,Web,Login,390
103,24429,Call Center,Transfer,319
104,3092,App,Consulta,66
105,17040,App,Consulta,440
106,14331,Web,Transfer,338
107,20554,App,Login,85
108,9551,Web,Login,354
109,904,App,Transfer,108
110,13586,App,Login,323
111,22175,Web,Transfer,425
112,15414,Web,Transfer,232
113,18586,Call Center,Transfer,460
114,8776,Call Center,Consulta,354
115,3530,Call Center,Login,113
116,5928,Web,Consulta,422
117,7603,Web,Consulta,77
118,22637,App,Consulta,48
119,4653,Call Center,Login,186
120,24624,Call Center,Consulta,126
121,1701,App,Login,434
122,12073,Web,Login,104
123,18671,Web,Consulta,76
124,6944,App,Transfer,464
125,3005,Web,Transfer,126
126,10254,Web,Transfer,400
127,24351,Call Center,Transfer,370
128,18275,Web,Transfer,80
129,6742,Web,Transfer,364
130,14286,App,Transfer,20
131,5540,Web,Login,444
132,7368,Call Center,Consulta,111
133,639,App,Login,447
134,24128,App,Login,264
135,2870,App,Transfer,417
136,18163,Web,Transfer,447
137,5891,App,Login,419
138,6189,Web,Login,328
139,4348,Web,Transfer,143
140,1094,Web,Login,31
141,15253,Call Center,Login,394
142,20903,Call Center,Transfer,274
143,2975,Web,Consulta,53
144,10288,Web,Transfer,272
145,23479,App,Login,53
146,21884,Call Center,Transfer,35
147,20187,Web,Consulta,177
148,13360,Call Center,Login,269
149,17565,Web,Transfer,33
150,13899,Call Center,Transfer,61
151,4195,Call Center,Transfer,299
152,5849,App,Login,306
153,2156,App,Consulta,297
154,21138,Web,Consulta,437
155,486,Web,Transfer,410
156,22029,Call Center,Consulta,131
157,296,Web,Login,167
158,14995,Web,Transfer,146
159,22196,App,Consulta,7
160,20667,App,Login,211
161,16681,Web,Consulta,333
162,20247,Web,Consulta,219
163,22095,Web,Consulta,456
164,2041,Web,Consulta,337
165,10948,Call Center,Transfer,354
166,10350,Web,Transfer,82
167,24585,Call Center,Consulta,187
168,3206,Web,Consulta,463
169,1349,Web,Login,77
170,21179,Call Center,Consulta,133
171,6209,Web,Consulta,75
172,21750,App,Transfer,205
173,5398,Web,Consulta,113
174,19935,Web,Consulta,15
175,2296,Web,Transfer,215
176,2838,Web,Consulta,98
177,22233,Web,Login,374
178,2930,Web,Consulta,382
179,21110,Web,Transfer,270
180,6438,App,Transfer,462
181,21225,Call Center,Consulta,19
182,18755,Web,Transfer,436
183,15338,App,Login,244
184,15575,App,Login,465
185,16865,Call Center,Transfer,85
186,19536,Web,Consulta,249
187,15521,Call Center,Consulta,469
188,10347,Call Center,Transfer,283
189,6081,App,Login,356
190,7424,Web,Transfer,211
191,15456,App,Transfer,70
192,533,Web,Consulta,297
193,11845,Call Center,Transfer,421
194,21650,Web,Transfer,436
195,13524,Web,Transfer,42
196,5316,Web,Transfer,298
197,23497,Web,Transfer,404
198,18757,Call Center,Transfer,12
199,4606,Web,Transfer,456
200,6532,Call Center,Consulta,316
201,10705,App,Login,404
202,3931,Web,Transfer,157
203,442,Web,Transfer,386
204,16322,Web,Transfer,312
205,21340,App,Consulta,303
206,21046,App,Transfer,233
207,459,Web,Consulta,411
208,16,Web,Consulta,10
209,21486,App,Login,249
210,13854,Call Center,Consulta,413
211,12410,Web,Transfer,319
212,12436,App,Login,302
213,5592,Web,Consulta,169
214,264,Call Center,Transfer,254
215,21370,App,Consulta,347
216,7489,App,Transfer,194
217,22894,Call Center,Login,376
218,10646,Web,Login,238
219,21946,Call Center,Transfer,394
220,14675,Web,Transfer,411
221,17644,App,Login,317
222,20855,App,Login,172
223,854,Web,Login,324
224,14063,Call Center,Transfer,362
225,18677,Web,Consulta,267
226,6656,App,Consulta,230
227,21713,Web,Transfer,102
228,8589,Web,Consulta,49
229,7948,Call Center,Consulta,355
230,4826,Web,Transfer,90
231,3541,App,Transfer,250
232,18988,App,Transfer,237
233,18623,Call Center,Transfer,189
234,16328,Web,Consulta,157
235,23786,Web,Consulta,164
236,21716,Web,Consulta,214
237,20982,App,Transfer,129
238,22637,App,Transfer,201
239,24700,App,Login,456
240,13786,App,Consulta,470
241,6973,Call Center,Login,404
242,14661,App,Consulta,56
243,13979,Call Center,Transfer,254
244,7151,Call Center,Login,330
245,11378,Web,Login,346
246,24443,Web,Transfer,130
247,15972,App,Transfer,306
248,10795,App,Consulta,109
249,24756,Web,Login,111
250,19829,App,Login,37
251,1914,Call Center,Login,217
252,6548,Web,Transfer,239
253,23848,App,Consulta,159
254,16185,App,Transfer,436
255,16594,App,Consulta,159
256,24884,Call Center,Consulta,281
257,4959,Call Center,Consulta,309
258,19841,Web,Consulta,380
259,229,Call Center,Login,167
260,6090,Web,Transfer,87
261,24932,Call Center,Transfer,430
262,24118,Web,Transfer,382
263,9693,Call Center,Consulta,468
264,11058,App,Consulta,141
265,24094,App,Login,353
266,21139,Web,Transfer,345
267,9211,Web,Consulta,410
268,5122,App,Transfer,51
269,23506,Web,Consulta,453
270,2596,App,Login,82
271,19456,Call Center,Consulta,36
272,10582,Call Center,Consulta,119
273,24864,Web,Transfer,165
274,22944,Web,Transfer,17
275,21066,App,Login,233
276,13964,Web,Login,234
277,23239,Web,Login,324
278,786,Web,Transfer,459
279,11595,Web,Consulta,320
280,5738,Web,Login,18
281,10132,App,Login,380
282,12783,App,Consulta,392
283,16402,Web,Consulta,9
284,13570,App,Consulta,122
285,15886,App,Consulta,340
286,24884,App,Transfer,214
287,23627,App,Consulta,205
288,11158,Web,Transfer,289
289,2038,Call Center,Transfer,424
290,15215,Call Center,Consulta,221
291,24673,App,Login,134
292,15064,App,Transfer,30
293,24389,App,Consulta,37
294,19553,Web,Consulta,12
295,688,Web,Consulta,24
296,9224,Call Center,Login,405
297,20166,Call Center,Transfer,216
298,4181,Call Center,Transfer,8
299,24623,Call Center,Transfer,272
300,20553,Call Center,Consulta,90
301,15966,Call Center,Login,234
302,7218,Call Center,Login,213
303,4521,Call Center,Transfer,366
304,10361,Web,Login,419
305,2011,Web,Transfer,184
306,7726,App,Transfer,476
307,11567,Web,Consulta,341
308,3355,App,Transfer,281
309,17310,Call Center,Login,224
310,20777,Web,Consulta,200
311,10313,Web,Transfer,334
312,5308,Call Center,Consulta,207
313,23169,App,Login,47
314,22985,App,Login,357
315,4012,Call Center,Transfer,260
316,5973,Web,Consulta,338
317,14233,App,Transfer,267
318,21814,App,Transfer,302
319,11653,App,Consulta,302
320,21461,Call Center,Transfer,134
321,1004,Call Center,Login,382
322,2572,App,Transfer,110
323,24676,Call Center,Transfer,35
324,22984,App,Transfer,246
325,23291,Web,Login,328
326,4566,App,Consulta,108
327,17191,Call Center,Transfer,142
328,8072,Web,Transfer,461
329,16169,Web,Transfer,339
330,12038,Call Center,Consulta,70
331,17033,App,Consulta,136
332,22070,Call Center,Consulta,391
333,24779,App,Login,192
334,13667,App,Login,134
335,23732,Web,Login,258
336,3301,Web,Transfer,79
337,12689,Call Center,Consulta,67
338,17130,Call Center,Transfer,140
339,1762,Call Center,Consulta,70
340,13753,Call Center,Login,100
341,22827,Call Center,Login,143
342,17743,Web,Login,280
343,23295,Web,Transfer,447
344,18928,Web,Login,253
345,18798,Web,Transfer,306
346,15244,App,Consulta,183
347,11265,Web,Consulta,80
348,5033,Web,Transfer,362
349,19873,App,Transfer,313
350,22905,Call Center,Transfer,111
351,6396,Call Center,Login,227
352,16482,Call Center,Transfer,433
353,4900,Web,Transfer,16
354,19145,Call Center,Transfer,453
355,19888,Call Center,Consulta,181
356,3057,Web,Login,272
357,21389,App,Transfer,409
358,16618,App,Transfer,366
359,2124,Web,Consulta,470
360,24601,App,Transfer,96
361,23524,App,Login,55
362,15600,Web,Consulta,397
363,8671,Call Center,Login,436
364,12574,Call Center,Transfer,163
365,17395,Call Center,Login,422
366,21808,Web,Consulta,257
367,15610,Call Center,Consulta,452
368,1572,Call Center,Login,394
369,14646,App,Transfer,226
370,9430,App,Consulta,377
371,14804,Web,Login,309
372,13423,Web,Consulta,418
373,16234,Call Center,Login,304
374,9238,Call Center,Consulta,395
375,8313,Web,Login,414
376,7225,Call Center,Transfer,448
377,21299,Web,Consulta,60
378,14549,Call Center,Consulta,384
379,9768,App,Transfer,316
380,7011,Web,Login,296
