Finance_ID,Date,Total_Assets,Total_Liabilities,Total_Equity,Revenue,Expenses,Net_Profit,Report_Date,Currency,Created_At
1,2020-01-01,1179370.14,898846.5,280523.63,189317.81,135710.54,53607.27,2020-01-01,EUR,2025-05-25 21:55:48.202198
2,2020-01-02,2378566.17,1681842.57,696723.61,162200.11,165215.27,-3015.15,2020-01-02,EUR,2025-05-25 21:55:48.202198
3,2020-01-03,3570608.66,2630674.03,939934.63,177001.75,130802.68,46199.07,2020-01-03,EUR,2025-05-25 21:55:48.202198
4,2020-01-04,4757869.07,3176881.25,1580987.82,154945.77,122508.09,32437.68,2020-01-04,EUR,2025-05-25 21:55:48.202198
5,2020-01-05,5975219.91,4355439.45,1619780.47,188090.89,161560.36,26530.53,2020-01-05,EUR,2025-05-25 21:55:48.202198
6,2020-01-06,7177493.61,4847638.62,2329854.99,197318.3,121719.82,75598.48,2020-01-06,EUR,2025-05-25 21:55:48.202198
7,2020-01-07,8356926.39,6190312.28,2166614.11,191686.64,140601.85,51084.79,2020-01-07,EUR,2025-05-25 21:55:48.202198
8,2020-01-08,9561343.0,7236374.9,2324968.11,195678.7,146814.59,48864.11,2020-01-08,EUR,2025-05-25 21:55:48.202198
9,2020-01-09,10773522.26,7331455.04,3442067.22,175683.65,148579.77,27103.88,2020-01-09,EUR,2025-05-25 21:55:48.202198
10,2020-01-10,11977432.96,9027329.66,2950103.3,169012.57,151444.93,17567.64,2020-01-10,EUR,2025-05-25 21:55:48.202198
11,2020-01-11,13173252.28,8625615.41,4547636.86,174481.97,156234.52,18247.45,2020-01-11,EUR,2025-05-25 21:55:48.202198
12,2020-01-12,14395255.48,9886494.61,4508760.87,170774.3,148345.7,22428.59,2020-01-12,EUR,2025-05-25 21:55:48.202198
13,2020-01-13,15580428.78,10906309.92,4674118.86,173265.44,145685.99,27579.45,2020-01-13,EUR,2025-05-25 21:55:48.202198
14,2020-01-14,16775590.8,11591967.12,5183623.68,186646.81,159671.06,26975.74,2020-01-14,EUR,2025-05-25 21:55:48.202198
15,2020-01-15,17985123.85,13692819.88,4292303.97,210204.34,156533.79,53670.55,2020-01-15,EUR,2025-05-25 21:55:48.202198
16,2020-01-16,19187768.9,14202403.91,4985364.99,189763.01,141133.98,48629.03,2020-01-16,EUR,2025-05-25 21:55:48.202198
17,2020-01-17,20396976.43,15459253.28,4937723.15,178756.61,150797.02,27959.59,2020-01-17,EUR,2025-05-25 21:55:48.202198
18,2020-01-18,21575826.54,14095405.46,7480421.09,191814.1,164633.57,27180.53,2020-01-18,EUR,2025-05-25 21:55:48.202198
19,2020-01-19,22800540.41,17486837.29,5313703.12,171590.96,126669.96,44921.0,2020-01-19,EUR,2025-05-25 21:55:48.202198
20,2020-01-20,23987775.25,17167393.01,6820382.24,176871.11,132799.37,44071.74,2020-01-20,EUR,2025-05-25 21:55:48.202198
21,2020-01-21,25216809.23,18713311.93,6503497.3,172228.76,144391.28,27837.48,2020-01-21,EUR,2025-05-25 21:55:48.202198
22,2020-01-22,26452747.56,20366089.56,6086658.0,187736.54,141352.23,46384.31,2020-01-22,EUR,2025-05-25 21:55:48.202198
23,2020-01-23,27661701.71,21268976.19,6392725.53,171432.97,123000.2,48432.77,2020-01-23,EUR,2025-05-25 21:55:48.202198
24,2020-01-24,28854673.52,22156921.3,6697752.22,171924.41,158298.97,13625.44,2020-01-24,EUR,2025-05-25 21:55:48.202198
25,2020-01-25,30056655.29,20694306.02,9362349.27,165284.0,148715.26,16568.74,2020-01-25,EUR,2025-05-25 21:55:48.202198
26,2020-01-26,31280047.29,20973461.8,10306585.49,182547.24,116247.87,66299.37,2020-01-26,EUR,2025-05-25 21:55:48.202198
27,2020-01-27,32487130.5,22841996.91,9645133.58,186452.09,132273.4,54178.69,2020-01-27,EUR,2025-05-25 21:55:48.202198
28,2020-01-28,33720078.82,25563118.35,8156960.47,197667.39,141309.16,56358.23,2020-01-28,EUR,2025-05-25 21:55:48.202198
29,2020-01-29,34941947.48,23983972.77,10957974.71,202055.12,142052.32,60002.8,2020-01-29,EUR,2025-05-25 21:55:48.202198
30,2020-01-30,36132455.96,24337372.15,11795083.81,166419.25,139066.7,27352.56,2020-01-30,EUR,2025-05-25 21:55:48.202198
31,2020-01-31,37357369.72,28568950.4,8788419.32,220208.89,138524.07,81684.82,2020-01-31,EUR,2025-05-25 21:55:48.202198
32,2020-02-01,38554224.16,28541954.4,10012269.76,169267.09,147507.94,21759.16,2020-02-01,EUR,2025-05-25 21:55:48.202198
33,2020-02-02,39733227.1,29775364.51,9957862.59,204466.5,156276.54,48189.95,2020-02-02,EUR,2025-05-25 21:55:48.202198
34,2020-02-03,40914310.56,28338130.93,12576179.63,186911.88,164183.82,22728.06,2020-02-03,EUR,2025-05-25 21:55:48.202198
35,2020-02-04,42129321.59,31791135.13,10338186.46,165697.51,134397.55,31299.96,2020-02-04,EUR,2025-05-25 21:55:48.202198
36,2020-02-05,43344506.18,28313162.16,15031344.02,185407.77,109614.07,75793.71,2020-02-05,EUR,2025-05-25 21:55:48.202198
37,2020-02-06,44552020.43,33958709.39,10593311.04,183152.07,128194.99,54957.08,2020-02-06,EUR,2025-05-25 21:55:48.202198
38,2020-02-07,45758981.51,30900912.4,14858069.1,198603.19,128795.84,69807.35,2020-02-07,EUR,2025-05-25 21:55:48.202198
39,2020-02-08,46948726.85,34582054.72,12366672.14,194266.05,132870.93,61395.12,2020-02-08,EUR,2025-05-25 21:55:48.202198
40,2020-02-09,48164468.0,33124604.41,15039863.59,174324.56,142098.87,32225.69,2020-02-09,EUR,2025-05-25 21:55:48.202198
41,2020-02-10,49396415.04,34030251.23,15366163.81,168390.4,152730.63,15659.77,2020-02-10,EUR,2025-05-25 21:55:48.202198
42,2020-02-11,50584067.93,35235320.25,15348747.69,206319.98,146411.04,59908.94,2020-02-11,EUR,2025-05-25 21:55:48.202198
43,2020-02-12,51789279.47,34336993.76,17452285.72,175942.33,119238.78,56703.55,2020-02-12,EUR,2025-05-25 21:55:48.202198
44,2020-02-13,52993209.41,36392455.56,16600753.86,198636.58,139944.06,58692.52,2020-02-13,EUR,2025-05-25 21:55:48.202198
45,2020-02-14,54214286.05,40705565.82,13508720.23,175041.92,140877.5,34164.43,2020-02-14,EUR,2025-05-25 21:55:48.202198
46,2020-02-15,55427632.78,41019815.0,14407817.78,183046.57,123920.51,59126.06,2020-02-15,EUR,2025-05-25 21:55:48.202198
47,2020-02-16,56632399.65,43156961.26,13475438.39,166309.01,134069.98,32239.03,2020-02-16,EUR,2025-05-25 21:55:48.202198
48,2020-02-17,57823671.42,39040330.25,18783341.17,183741.27,135722.33,48018.95,2020-02-17,EUR,2025-05-25 21:55:48.202198
49,2020-02-18,59030843.9,40272767.73,18758076.18,193117.88,135103.8,58014.09,2020-02-18,EUR,2025-05-25 21:55:48.202198
50,2020-02-19,60243824.36,44090258.07,16153566.29,162647.74,130410.98,32236.76,2020-02-19,EUR,2025-05-25 21:55:48.202198
51,2020-02-20,61436268.13,43982306.95,17453961.18,178983.0,141363.12,37619.88,2020-02-20,EUR,2025-05-25 21:55:48.202198
52,2020-02-21,62604036.71,44679677.11,17924359.6,172489.81,150154.93,22334.88,2020-02-21,EUR,2025-05-25 21:55:48.202198
53,2020-02-22,63790562.97,44375748.32,19414814.65,195764.28,136298.81,59465.47,2020-02-22,EUR,2025-05-25 21:55:48.202198
54,2020-02-23,64999751.03,48249922.33,16749828.7,166047.69,127925.6,38122.1,2020-02-23,EUR,2025-05-25 21:55:48.202198
55,2020-02-24,66211090.13,45214875.53,20996214.6,184510.99,139085.15,45425.83,2020-02-24,EUR,2025-05-25 21:55:48.202198
56,2020-02-25,67417273.56,44946708.14,22470565.42,184913.75,166406.94,18506.81,2020-02-25,EUR,2025-05-25 21:55:48.202198
57,2020-02-26,68602452.46,45563538.64,23038913.83,199999.07,137152.74,62846.34,2020-02-26,EUR,2025-05-25 21:55:48.202198
58,2020-02-27,69823985.19,45535784.21,24288200.98,221442.15,144705.07,76737.09,2020-02-27,EUR,2025-05-25 21:55:48.202198
59,2020-02-28,71018041.13,47328536.84,23689504.29,174930.29,144739.16,30191.13,2020-02-28,EUR,2025-05-25 21:55:48.202198
60,2020-02-29,72197857.52,54253433.1,17944424.41,185987.74,128078.06,57909.68,2020-02-29,EUR,2025-05-25 21:55:48.202198
61,2020-03-01,73367411.59,54220653.18,19146758.41,167619.48,141833.58,25785.9,2020-03-01,EUR,2025-05-25 21:55:48.202198
62,2020-03-02,74559666.4,51494855.36,23064811.04,187673.11,149326.45,38346.66,2020-03-02,EUR,2025-05-25 21:55:48.202198
63,2020-03-03,75761927.2,49368184.71,26393742.49,179912.46,135598.21,44314.25,2020-03-03,EUR,2025-05-25 21:55:48.202198
64,2020-03-04,76989435.02,56556356.01,20433079.01,174828.03,122118.66,52709.37,2020-03-04,EUR,2025-05-25 21:55:48.202198
65,2020-03-05,78224260.96,50979299.15,27244961.81,160108.67,133323.47,26785.2,2020-03-05,EUR,2025-05-25 21:55:48.202198
66,2020-03-06,79425029.76,61164719.41,18260310.35,168543.31,123596.01,44947.29,2020-03-06,EUR,2025-05-25 21:55:48.202198
67,2020-03-07,80589551.45,57675078.59,22914472.86,165605.3,151407.69,14197.62,2020-03-07,EUR,2025-05-25 21:55:48.202198
68,2020-03-08,81811120.59,60308696.82,21502423.77,197444.33,128245.21,69199.13,2020-03-08,EUR,2025-05-25 21:55:48.202198
69,2020-03-09,83047149.82,59901819.55,23145330.27,163972.08,152122.13,11849.95,2020-03-09,EUR,2025-05-25 21:55:48.202198
70,2020-03-10,84240904.97,58065609.36,26175295.61,184476.23,141467.83,43008.4,2020-03-10,EUR,2025-05-25 21:55:48.202198
71,2020-03-11,85459395.18,55897858.88,29561536.3,185484.74,128853.66,56631.08,2020-03-11,EUR,2025-05-25 21:55:48.202198
72,2020-03-12,86674695.24,66590816.34,20083878.9,184010.0,144563.79,39446.21,2020-03-12,EUR,2025-05-25 21:55:48.202198
73,2020-03-13,87891836.02,59271480.4,28620355.62,178574.04,120036.55,58537.49,2020-03-13,EUR,2025-05-25 21:55:48.202198
74,2020-03-14,89078977.03,61405990.37,27672986.66,189693.85,162878.23,26815.62,2020-03-14,EUR,2025-05-25 21:55:48.202198
75,2020-03-15,90243715.61,67083807.42,23159908.18,196747.7,137248.97,59498.73,2020-03-15,EUR,2025-05-25 21:55:48.202198
76,2020-03-16,91423076.71,68691101.39,22731975.32,178787.05,152377.84,26409.21,2020-03-16,EUR,2025-05-25 21:55:48.202198
77,2020-03-17,92616301.18,65092200.6,27524100.58,162180.42,134012.82,28167.6,2020-03-17,EUR,2025-05-25 21:55:48.202198
