Financial_Metrics_ID,Date,Interest_Income,Interest_Expense,Average_Earning_Assets,Net_Income,Average_Total_Assets,Average_Equity,Created_At
1,2020-01-01,141988.36,40713.16,1179370.14,53607.27,1179370.14,280523.63,2025-05-25 21:55:48.313112
2,2020-01-02,121650.08,49564.58,1778968.15,-3015.15,1778968.15,488623.62,2025-05-25 21:55:48.313112
3,2020-01-03,132751.31,39240.8,2376181.66,46199.07,2376181.66,639060.62,2025-05-25 21:55:48.313112
4,2020-01-04,116209.33,36752.43,2971603.51,32437.68,2971603.51,874542.42,2025-05-25 21:55:48.313112
5,2020-01-05,141068.17,48468.11,3572326.79,26530.53,3572326.79,1023590.03,2025-05-25 21:55:48.313112
6,2020-01-06,147988.72,36515.95,4173187.93,75598.48,4173187.93,1241300.86,2025-05-25 21:55:48.313112
7,2020-01-07,143764.98,42180.56,4770864.85,51084.79,4770864.85,1373488.47,2025-05-25 21:55:48.313112
8,2020-01-08,146759.03,44044.38,5968289.54,48864.11,5968289.54,1665551.96,2025-05-25 21:55:48.313112
9,2020-01-09,131762.74,44573.93,7167568.99,27103.88,7167568.99,2057743.91,2025-05-25 21:55:48.313112
10,2020-01-10,126759.43,45433.48,8368543.89,17567.64,8368543.89,2344910.86,2025-05-25 21:55:48.313112
11,2020-01-11,130861.48,46870.36,9570741.49,18247.45,9570741.49,2768717.87,2025-05-25 21:55:48.313112
12,2020-01-12,128080.72,44503.71,10773603.71,22428.59,10773603.71,3181429.35,2025-05-25 21:55:48.313112
13,2020-01-13,129949.08,43705.8,11974023.02,27579.45,11974023.02,3516324.19,2025-05-25 21:55:48.313112
14,2020-01-14,139985.11,47901.32,13176689.37,26975.74,13176689.37,3947325.56,2025-05-25 21:55:48.313112
15,2020-01-15,157653.26,46960.14,14380086.63,53670.55,14380086.63,4228373.54,2025-05-25 21:55:48.313112
16,2020-01-16,142322.26,42340.19,15582121.86,48629.03,15582121.86,4448844.65,2025-05-25 21:55:48.313112
17,2020-01-17,134067.46,45239.11,16784913.79,27959.59,16784913.79,4732790.34,2025-05-25 21:55:48.313112
18,2020-01-18,143860.58,49390.07,17985281.54,27180.53,17985281.54,5151759.52,2025-05-25 21:55:48.313112
19,2020-01-19,128693.22,38000.99,19186036.53,44921.0,19186036.53,5266751.27,2025-05-25 21:55:48.313112
20,2020-01-20,132653.33,39839.81,20387086.03,44071.74,20387086.03,5573360.32,2025-05-25 21:55:48.313112
21,2020-01-21,129171.57,43317.38,21592974.37,27837.48,21592974.37,5761913.69,2025-05-25 21:55:48.313112
22,2020-01-22,140802.4,42405.67,22802634.9,46384.31,22802634.9,6018249.98,2025-05-25 21:55:48.313112
23,2020-01-23,128574.73,36900.06,24013196.73,48432.77,24013196.73,6219301.49,2025-05-25 21:55:48.313112
24,2020-01-24,128943.31,47489.69,25221439.17,13625.44,25221439.17,6470734.21,2025-05-25 21:55:48.313112
25,2020-01-25,123963.0,44614.58,26432986.14,16568.74,26432986.14,6739581.1,2025-05-25 21:55:48.313112
26,2020-01-26,136910.43,34874.36,27644344.26,66299.37,27644344.26,7452850.01,2025-05-25 21:55:48.313112
27,2020-01-27,139839.07,39682.02,28858537.87,54178.69,28858537.87,7856385.91,2025-05-25 21:55:48.313112
28,2020-01-28,148250.54,42392.75,30073290.67,56358.23,30073290.67,8092594.94,2025-05-25 21:55:48.313112
29,2020-01-29,151541.34,42615.7,31286033.52,60002.8,31286033.52,8788497.32,2025-05-25 21:55:48.313112
30,2020-01-30,124814.44,41720.01,32496141.27,27352.56,32496141.27,9560262.79,2025-05-25 21:55:48.313112
31,2020-01-31,165156.67,41557.22,33710812.15,81684.82,33710812.15,9858929.52,2025-05-25 21:55:48.313112
32,2020-02-01,126950.32,44252.38,34924750.56,21759.16,34924750.56,9951775.31,2025-05-25 21:55:48.313112
33,2020-02-02,153349.88,46882.96,36132347.68,48189.95,36132347.68,9901957.75,2025-05-25 21:55:48.313112
34,2020-02-03,140183.91,49255.15,37336230.54,22728.06,37336230.54,10320678.61,2025-05-25 21:55:48.313112
35,2020-02-04,124273.13,40319.26,38537550.94,31299.96,38537550.94,10632282.33,2025-05-25 21:55:48.313112
36,2020-02-05,139055.83,32884.22,39737916.47,75793.71,39737916.47,11214192.23,2025-05-25 21:55:48.313112
37,2020-02-06,137364.05,38458.5,40940711.39,54957.08,40940711.39,11042510.4,2025-05-25 21:55:48.313112
38,2020-02-07,148952.39,38638.75,42140941.65,69807.35,42140941.65,11909603.23,2025-05-25 21:55:48.313112
39,2020-02-08,145699.54,39861.28,43340156.32,61395.12,43340156.32,12245946.43,2025-05-25 21:55:48.313112
40,2020-02-09,130743.42,42629.66,44544619.3,32225.69,44544619.3,12971946.57,2025-05-25 21:55:48.313112
41,2020-02-10,126292.8,45819.19,45756348.51,15659.77,45756348.51,13370515.74,2025-05-25 21:55:48.313112
42,2020-02-11,154739.99,43923.31,46964169.42,59908.94,46964169.42,14086310.2,2025-05-25 21:55:48.313112
43,2020-02-12,131956.75,35771.63,48170565.6,56703.55,48170565.6,14432159.01,2025-05-25 21:55:48.313112
44,2020-02-13,148977.44,41983.22,49376449.74,58692.52,49376449.74,15290365.13,2025-05-25 21:55:48.313112
45,2020-02-14,131281.44,42263.25,50584350.39,34164.43,50584350.39,15097601.01,2025-05-25 21:55:48.313112
46,2020-02-15,137284.93,37176.15,51795622.67,59126.06,51795622.67,15389193.24,2025-05-25 21:55:48.313112
47,2020-02-16,124731.76,40220.99,53005327.19,32239.03,53005327.19,15165703.93,2025-05-25 21:55:48.313112
48,2020-02-17,137805.95,40716.7,54209220.96,48018.95,54209220.96,15653872.12,2025-05-25 21:55:48.313112
49,2020-02-18,144838.41,40531.14,55415903.24,58014.09,55415903.24,16140919.05,2025-05-25 21:55:48.313112
50,2020-02-19,121985.8,39123.29,56623695.37,32236.76,56623695.37,15955387.7,2025-05-25 21:55:48.313112
51,2020-02-20,134237.25,42408.94,57829846.61,37619.88,57829846.61,16077274.46,2025-05-25 21:55:48.313112
52,2020-02-21,129367.36,45046.48,59028382.42,22334.88,59028382.42,16708080.08,2025-05-25 21:55:48.313112
53,2020-02-22,146823.21,40889.64,60223086.73,59465.47,60223086.73,17423365.35,2025-05-25 21:55:48.313112
54,2020-02-23,124535.77,38377.68,61418422.65,38122.1,61418422.65,17891135.4,2025-05-25 21:55:48.313112
55,2020-02-24,138383.24,41725.54,62616625.32,45425.83,62616625.32,18207260.17,2025-05-25 21:55:48.313112
56,2020-02-25,138685.31,49922.08,63814686.7,18506.81,63814686.7,18737615.78,2025-05-25 21:55:48.313112
57,2020-02-26,149999.3,41145.82,65008776.43,62846.34,65008776.43,19721236.85,2025-05-25 21:55:48.313112
58,2020-02-27,166081.61,43411.52,66207021.72,76737.09,66207021.72,20697556.83,2025-05-25 21:55:48.313112
59,2020-02-28,131197.72,43421.75,67409022.35,30191.13,67409022.35,21521148.92,2025-05-25 21:55:48.313112
60,2020-02-29,139490.8,38423.42,68610064.43,57909.68,68610064.43,21311093.18,2025-05-25 21:55:48.313112
61,2020-03-01,125714.61,42550.07,69805444.51,25785.9,69805444.51,21653511.71,2025-05-25 21:55:48.313112
62,2020-03-02,140754.83,44797.94,70998098.26,38346.66,70998098.26,21949025.48,2025-05-25 21:55:48.313112
63,2020-03-03,134934.34,40679.46,72190191.64,44314.25,72190191.64,22509479.35,2025-05-25 21:55:48.313112
64,2020-03-04,131121.02,36635.6,73388332.01,52709.37,73388332.01,22137217.23,2025-05-25 21:55:48.313112
65,2020-03-05,120081.5,39997.04,74588371.4,26785.2,74588371.4,22559611.64,2025-05-25 21:55:48.313112
66,2020-03-06,126407.48,37078.8,75789369.78,44947.29,75789369.78,21784012.5,2025-05-25 21:55:48.313112
67,2020-03-07,124203.98,45422.31,76988183.2,14197.62,76988183.2,22494019.42,2025-05-25 21:55:48.313112
68,2020-03-08,148083.25,38473.56,78194427.34,69199.13,78194427.34,22830543.05,2025-05-25 21:55:48.313112
69,2020-03-09,122979.06,45636.64,79406924.97,11849.95,79406924.97,22842045.79,2025-05-25 21:55:48.313112
70,2020-03-10,138357.17,42440.35,80618207.51,43008.4,80618207.51,22810839.1,2025-05-25 21:55:48.313112
71,2020-03-11,139113.56,38656.1,81828201.82,56631.08,81828201.82,24114904.42,2025-05-25 21:55:48.313112
72,2020-03-12,138007.5,43369.14,83035406.72,39446.21,83035406.72,23091892.58,2025-05-25 21:55:48.313112
73,2020-03-13,133930.53,36010.96,84244950.47,58537.49,84244950.47,24571899.05,2025-05-25 21:55:48.313112
74,2020-03-14,142270.39,48863.47,85457725.55,26815.62,85457725.55,25251686.73,2025-05-25 21:55:48.313112
75,2020-03-15,147560.78,41174.69,86662381.98,59498.73,86662381.98,25488470.22,2025-05-25 21:55:48.313112
76,2020-03-16,134090.29,45713.35,87858942.97,26409.21,87858942.97,25429419.51,2025-05-25 21:55:48.313112
77,2020-03-17,121635.32,40203.85,89055428.14,28167.6,89055428.14,25622105.94,2025-05-25 21:55:48.313112
78,2020-03-18,159523.79,42097.95,90251571.28,72371.89,90251571.28,26011619.99,2025-05-25 21:55:48.313112
79,2020-03-19,146300.88,42818.16,91442034.91,52340.64,91442034.91,26518776.49,2025-05-25 21:55:48.313112
80,2020-03-20,137967.53,39995.92,92630238.81,50636.96,92630238.81,27108305.4,2025-05-25 21:55:48.313112
81,2020-03-21,152133.11,42455.43,93817508.06,61326.07,93817508.06,27350267.17,2025-05-25 21:55:48.313112
82,2020-03-22,140662.5,41589.56,95011979.11,48918.14,95011979.11,27243685.53,2025-05-25 21:55:48.313112
83,2020-03-23,122497.06,42465.36,96210217.51,21778.22,96210217.51,27879355.57,2025-05-25 21:55:48.313112
84,2020-03-24,129140.08,48080.16,97407205.92,11919.59,97407205.92,27270813.47,2025-05-25 21:55:48.313112
85,2020-03-25,146449.0,38903.24,98603250.96,65587.85,98603250.96,27105414.54,2025-05-25 21:55:48.313112
86,2020-03-26,142922.17,43124.97,99800210.43,46813.0,99800210.43,28829336.26,2025-05-25 21:55:48.313112
87,2020-03-27,141040.46,44027.21,100997018.88,41296.6,100997018.88,28294928.1,2025-05-25 21:55:48.313112
88,2020-03-28,129232.17,40827.97,102191175.28,36216.34,102191175.28,27674404.82,2025-05-25 21:55:48.313112
89,2020-03-29,130118.49,43828.98,103382606.81,27394.73,103382606.81,28857925.25,2025-05-25 21:55:48.313112
90,2020-03-30,131764.46,40211.01,104574734.5,41649.23,104574734.5,29287122.91,2025-05-25 21:55:48.313112
91,2020-03-31,124653.22,36886.92,105767773.63,43247.9,105767773.63,30380542.82,2025-05-25 21:55:48.313112
92,2020-04-01,132285.44,44109.7,106959389.59,29348.25,106959389.59,29531351.17,2025-05-25 21:55:48.313112
93,2020-04-02,122383.39,47903.13,108149157.88,3500.77,108149157.88,28995607.94,2025-05-25 21:55:48.313112
94,2020-04-03,122353.03,42790.28,109336913.52,20503.1,109336913.52,29192150.21,2025-05-25 21:55:48.313112
95,2020-04-04,133954.0,32749.8,110528199.63,69439.34,110528199.63,29761816.78,2025-05-25 21:55:48.313112
96,2020-04-05,131855.02,44424.24,111722121.47,27725.89,111722121.47,31077964.84,2025-05-25 21:55:48.313112
97,2020-04-06,141756.53,44460.38,112914465.07,40807.46,112914465.07,31819735.0,2025-05-25 21:55:48.313112
98,2020-04-07,150550.06,49226.2,114107999.45,36646.07,114107999.45,31281170.37,2025-05-25 21:55:48.313112
99,2020-04-08,115826.13,36476.28,115303010.84,32847.24,115303010.84,33054195.85,2025-05-25 21:55:48.313112
100,2020-04-09,120907.63,47463.52,116500242.16,2998.44,116500242.16,34292625.44,2025-05-25 21:55:48.313112
101,2020-04-10,143579.92,44501.89,117699272.15,43100.27,117699272.15,33901358.83,2025-05-25 21:55:48.313112
102,2020-04-11,141921.94,44365.73,118899350.1,41343.47,118899350.1,35244236.41,2025-05-25 21:55:48.313112
103,2020-04-12,146627.83,37015.06,120096289.43,72120.24,120096289.43,34290910.3,2025-05-25 21:55:48.313112
104,2020-04-13,140320.9,45779.46,121290753.54,34496.34,121290753.54,34507521.73,2025-05-25 21:55:48.313112
105,2020-04-14,139747.92,43789.01,122483885.61,40367.2,122483885.61,36178090.3,2025-05-25 21:55:48.313112
106,2020-04-15,128176.62,44911.81,123673044.68,21196.12,123673044.68,34926265.9,2025-05-25 21:55:48.313112
107,2020-04-16,124405.97,44720.95,124861264.85,16804.79,124861264.85,33500492.71,2025-05-25 21:55:48.313112
108,2020-04-17,143895.84,39981.11,126047387.18,58590.74,126047387.18,33866799.33,2025-05-25 21:55:48.313112
109,2020-04-18,118228.47,48230.96,127236051.63,-3131.89,127236051.63,33342504.13,2025-05-25 21:55:48.313112
110,2020-04-19,117976.78,43572.41,128422669.07,12061.0,128422669.07,33544890.17,2025-05-25 21:55:48.313112
111,2020-04-20,99541.54,37060.98,129609327.56,9185.45,129609327.56,33810974.39,2025-05-25 21:55:48.313112
112,2020-04-21,139635.16,40175.35,130794728.02,52262.39,130794728.02,34368658.13,2025-05-25 21:55:48.313112
113,2020-04-22,138835.81,33336.82,131983604.62,73991.68,131983604.62,36424238.17,2025-05-25 21:55:48.313112
114,2020-04-23,136876.01,43459.68,133176536.18,37635.75,133176536.18,38320118.63,2025-05-25 21:55:48.313112
115,2020-04-24,136030.66,38112.88,134371175.53,54331.29,134371175.53,40102360.96,2025-05-25 21:55:48.313112
116,2020-04-25,137378.12,34636.71,135565622.61,67715.11,135565622.61,41513051.74,2025-05-25 21:55:48.313112
117,2020-04-26,124137.76,44422.72,136762325.34,17441.28,136762325.34,43248667.44,2025-05-25 21:55:48.313112
118,2020-04-27,136847.18,43529.0,137964074.25,37366.23,137964074.25,42188601.51,2025-05-25 21:55:48.313112
119,2020-04-28,128059.78,40252.26,139166495.79,36572.16,139166495.79,42471659.8,2025-05-25 21:55:48.313112
120,2020-04-29,145428.65,39031.43,140368576.72,63800.11,140368576.72,41056276.05,2025-05-25 21:55:48.313112
121,2020-04-30,128846.96,41705.64,141566235.36,32777.15,141566235.36,40809587.15,2025-05-25 21:55:48.313112
122,2020-05-01,124460.42,43073.17,142763851.32,22370.0,142763851.32,40095038.2,2025-05-25 21:55:48.313112
123,2020-05-02,130288.9,42016.93,143958634.45,33662.09,143958634.45,40116149.28,2025-05-25 21:55:48.313112
124,2020-05-03,130743.93,45203.33,145146763.5,23647.48,145146763.5,38554661.0,2025-05-25 21:55:48.313112
125,2020-05-04,127973.65,39797.8,146331827.47,37972.18,146331827.47,40940728.56,2025-05-25 21:55:48.313112
126,2020-05-05,123035.97,43534.45,147520199.73,18933.14,147520199.73,42008877.54,2025-05-25 21:55:48.313112
127,2020-05-06,158628.22,42745.04,148707148.48,69020.83,148707148.48,44739766.71,2025-05-25 21:55:48.313112
128,2020-05-07,145793.68,44684.46,149896319.58,45443.39,149896319.58,45073704.1,2025-05-25 21:55:48.313112
129,2020-05-08,155868.89,46629.1,151082867.98,52394.87,151082867.98,44555833.73,2025-05-25 21:55:48.313112
130,2020-05-09,119857.23,42113.47,152272037.57,19431.41,152272037.57,44199605.9,2025-05-25 21:55:48.313112
131,2020-05-10,152243.8,45901.42,153472180.9,49986.98,153472180.9,45714251.59,2025-05-25 21:55:48.313112
132,2020-05-11,142471.82,44465.96,154671607.24,41742.55,154671607.24,45303898.29,2025-05-25 21:55:48.313112
133,2020-05-12,134760.28,44891.69,155872170.16,30041.41,155872170.16,45564978.5,2025-05-25 21:55:48.313112
134,2020-05-13,130911.8,42230.53,157074191.76,33780.63,157074191.76,45265737.4,2025-05-25 21:55:48.313112
135,2020-05-14,124366.02,43844.74,158274183.62,19672.21,158274183.62,44071606.87,2025-05-25 21:55:48.313112
136,2020-05-15,115921.4,39262.75,159476349.16,23686.03,159476349.16,44848185.43,2025-05-25 21:55:48.313112
137,2020-05-16,139277.29,46732.7,160671660.03,29927.37,160671660.03,46616899.85,2025-05-25 21:55:48.313112
138,2020-05-17,134565.43,40429.84,161863943.09,44654.43,161863943.09,46510382.96,2025-05-25 21:55:48.313112
139,2020-05-18,119407.07,43759.7,163057226.89,13343.75,163057226.89,45730190.48,2025-05-25 21:55:48.313112
140,2020-05-19,146788.21,42575.26,164242925.65,53800.07,164242925.65,45502744.62,2025-05-25 21:55:48.313112
141,2020-05-20,138475.18,39580.19,165426343.49,52699.62,165426343.49,46646909.99,2025-05-25 21:55:48.313112
142,2020-05-21,135018.08,43800.11,166612405.44,34023.74,166612405.44,48664918.72,2025-05-25 21:55:48.313112
143,2020-05-22,136728.33,48936.17,167800242.6,19183.85,167800242.6,50924050.8,2025-05-25 21:55:48.313112
144,2020-05-23,129415.23,43345.05,168995262.81,28070.14,168995262.81,51399066.43,2025-05-25 21:55:48.313112
145,2020-05-24,144833.14,38049.34,170189392.71,66279.72,170189392.71,51886298.85,2025-05-25 21:55:48.313112
146,2020-05-25,132210.69,41559.12,171386868.04,37750.52,171386868.04,53393064.16,2025-05-25 21:55:48.313112
147,2020-05-26,143441.77,41389.93,172593240.77,53289.26,172593240.77,51835444.46,2025-05-25 21:55:48.313112
148,2020-05-27,134943.38,44793.4,173790037.36,30613.18,173790037.36,50135322.53,2025-05-25 21:55:48.313112
149,2020-05-28,150879.59,37380.55,174984985.81,76570.96,174984985.81,50928660.01,2025-05-25 21:55:48.313112
150,2020-05-29,109915.06,43389.23,176181303.99,1922.63,176181303.99,51713688.64,2025-05-25 21:55:48.313112
151,2020-05-30,140283.36,38093.38,177374756.03,60066.55,177374756.03,50161540.68,2025-05-25 21:55:48.313112
152,2020-05-31,124323.58,43085.35,178566894.75,22146.94,178566894.75,49130416.6,2025-05-25 21:55:48.313112
153,2020-06-01,129056.02,43018.47,179757439.03,28679.78,179757439.03,50564156.96,2025-05-25 21:55:48.313112
154,2020-06-02,128571.92,40329.46,180939912.96,36997.68,180939912.96,53160587.86,2025-05-25 21:55:48.313112
