Loan_ID,Client_ID,Loan_Type,Principal_Amount,Interest_Rate,Loan_Term_Months,Start_Date,End_Date,Outstanding_Balance,Loan_Status,Default_Status,Created_At
1,1,Personal Loan,47737.3,4.2,60,2023-06-17,2028-06-17,47737.3,Active,No,2023-06-16 14:46:02
2,2,Auto Loan,56177.01,3.8,48,2024-09-02,2028-09-02,0.0,Closed,No,2024-08-28 13:45:46
3,3,Small Business Loan,156000.47,5.5,84,2022-11-15,2029-11-15,156000.47,Active,No,2022-11-14 13:03:03
4,4,Mortgage,257643.29,1.5,240,2023-10-14,2043-10-14,257643.29,Active,No,2023-10-08 18:45:48
5,7,Credit Line,5747.79,6.0,12,2020-12-21,2021-12-21,0.0,Closed,No,2020-12-16 17:16:18
6,7,Personal Loan,31784.34,4.2,60,2021-12-28,2026-12-28,0.0,Closed,No,2021-12-26 20:16:19
7,8,Student Loan,33358.57,2.9,120,2023-03-12,2033-03-12,0.0,Closed,No,2023-03-11 00:27:00
8,10,Small Business Loan,240175.34,5.5,84,2024-09-01,2031-09-01,0.0,Closed,No,2024-08-29 15:42:04
9,12,Small Business Loan,179880.85,5.5,84,2024-08-14,2031-08-14,0.0,Closed,No,2024-08-11 23:53:33
10,13,Mortgage,327723.89,1.5,240,2023-10-27,2043-10-27,0.0,Closed,No,2023-10-25 02:21:42
11,14,Personal Loan,29874.26,4.2,60,2020-03-14,2025-03-14,0.0,Closed,No,2020-03-11 14:55:47
12,14,Student Loan,47047.27,2.9,120,2020-06-22,2030-06-22,0.0,Closed,No,2020-06-19 20:12:56
13,16,Auto Loan,79304.28,3.8,48,2021-05-11,2025-05-11,0.0,Closed,No,2021-05-08 20:27:45
14,17,Student Loan,29089.71,2.9,120,2024-02-17,2034-02-17,29089.71,Active,No,2024-02-10 00:26:36
15,18,Mortgage,437977.42,1.5,240,2020-11-28,2040-11-28,0.0,Closed,No,2020-11-21 04:10:43
16,20,Small Business Loan,245577.6,5.5,84,2023-04-15,2030-04-15,0.0,Closed,No,2023-04-12 19:33:28
17,20,Credit Line,8054.26,6.0,12,2025-02-01,2026-02-01,0.0,Closed,No,2025-01-30 17:40:50
18,20,Mortgage,408786.49,1.5,240,2022-02-21,2042-02-21,0.0,Closed,No,2022-02-20 02:38:36
19,21,Credit Line,3401.54,6.0,12,2020-05-15,2021-05-15,3401.54,Active,No,2020-05-13 01:13:45
20,24,Personal Loan,45853.25,4.2,60,2020-04-29,2025-04-29,45853.25,Active,No,2020-04-23 13:52:53
21,31,Small Business Loan,206792.87,5.5,84,2023-08-30,2030-08-30,0.0,Closed,No,2023-08-28 02:18:28
22,32,Student Loan,37229.82,2.9,120,2023-11-22,2033-11-22,0.0,Closed,No,2023-11-17 03:09:56
23,32,Student Loan,51522.78,2.9,120,2022-11-22,2032-11-22,0.0,Closed,No,2022-11-15 01:28:59
24,35,Personal Loan,30585.22,4.2,60,2020-03-20,2025-03-20,0.0,Closed,No,2020-03-17 16:20:03
25,40,Small Business Loan,65643.69,5.5,84,2020-04-24,2027-04-24,0.0,Closed,No,2020-04-22 19:03:20
26,41,Personal Loan,39957.48,4.2,60,2024-05-18,2029-05-18,0.0,Closed,No,2024-05-11 17:52:27
27,41,Small Business Loan,208187.02,5.5,84,2021-12-18,2028-12-18,0.0,Closed,No,2021-12-16 16:14:34
28,41,Small Business Loan,10599.65,5.5,84,2020-06-08,2027-06-08,0.0,Closed,No,2020-06-05 17:37:02
29,41,Student Loan,20207.73,2.9,120,2020-05-11,2030-05-11,20207.73,Active,No,2020-05-04 16:31:35
30,43,Personal Loan,30678.31,4.2,60,2020-02-02,2025-02-02,0.0,Closed,No,2020-01-31 16:39:46
31,43,Auto Loan,60672.2,3.8,48,2021-03-14,2025-03-14,0.0,Closed,No,2021-03-08 22:02:33
32,47,Mortgage,328551.28,1.5,240,2023-08-03,2043-08-03,0.0,Closed,No,2023-08-02 06:05:02
33,47,Student Loan,26309.9,2.9,120,2023-02-22,2033-02-22,26309.9,Active,No,2023-02-16 05:45:13
34,51,Mortgage,299426.21,1.5,240,2022-05-19,2042-05-19,299426.21,Active,No,2022-05-15 14:45:32
35,51,Student Loan,41941.68,2.9,120,2023-07-02,2033-07-02,0.0,Closed,No,2023-06-25 22:34:01
36,54,Small Business Loan,133340.56,5.5,84,2020-01-14,2027-01-14,0.0,Closed,No,2020-01-07 23:55:09
37,55,Personal Loan,20416.77,4.2,60,2022-11-26,2027-11-26,20416.77,Active,No,2022-11-23 10:51:05
38,55,Student Loan,37174.8,2.9,120,2020-12-11,2030-12-11,0.0,Closed,No,2020-12-07 17:17:19
39,56,Credit Line,1226.92,6.0,12,2021-07-09,2022-07-09,1226.92,Active,No,2021-07-08 15:33:00
40,57,Credit Line,6692.22,6.0,12,2022-05-31,2023-05-31,0.0,Closed,No,2022-05-30 23:30:41
41,59,Credit Line,10684.83,6.0,12,2021-06-03,2022-06-03,0.0,Closed,No,2021-06-01 20:49:10
42,61,Personal Loan,26771.18,4.2,60,2020-07-30,2025-07-30,0.0,Closed,No,2020-07-23 09:21:55
43,61,Small Business Loan,45347.94,5.5,84,2022-01-03,2029-01-03,45347.94,Active,No,2021-12-30 16:04:48
44,62,Student Loan,16438.26,2.9,120,2024-11-13,2034-11-13,0.0,Closed,No,2024-11-09 00:44:39
45,64,Small Business Loan,200721.42,5.5,84,2025-01-30,2032-01-30,200721.42,Active,No,2025-01-28 09:07:47
46,65,Student Loan,35625.95,2.9,120,2021-07-16,2031-07-16,0.0,Closed,Yes,2021-07-13 18:50:17
47,66,Auto Loan,51326.67,3.8,48,2020-12-08,2024-12-08,51326.67,Active,No,2020-12-03 18:04:05
48,66,Credit Line,8758.16,6.0,12,2020-07-08,2021-07-08,0.0,Closed,Yes,2020-07-01 07:00:28
49,67,Mortgage,87986.08,1.5,240,2024-09-13,2044-09-13,87986.08,Active,No,2024-09-08 02:53:02
50,68,Auto Loan,95545.41,3.8,48,2023-09-20,2027-09-20,0.0,Closed,No,2023-09-16 14:49:12
51,70,Personal Loan,35574.37,4.2,60,2021-01-01,2026-01-01,0.0,Closed,No,2020-12-26 22:52:07
52,70,Personal Loan,41036.0,4.2,60,2024-04-17,2029-04-17,0.0,Closed,No,2024-04-14 23:27:06
53,72,Mortgage,416586.21,1.5,240,2024-08-01,2044-08-01,0.0,Closed,No,2024-07-30 04:29:57
54,73,Auto Loan,23775.06,3.8,48,2025-01-31,2029-01-31,0.0,Closed,No,2025-01-29 14:05:39
55,74,Credit Line,18335.59,6.0,12,2020-05-12,2021-05-12,0.0,Closed,No,2020-05-09 04:05:14
56,75,Auto Loan,42488.25,3.8,48,2020-12-07,2024-12-07,0.0,Closed,No,2020-12-02 12:57:55
57,76,Personal Loan,17102.07,4.2,60,2024-07-08,2029-07-08,0.0,Closed,No,2024-07-07 08:25:44
58,81,Student Loan,47531.58,2.9,120,2021-05-29,2031-05-29,47531.58,Active,No,2021-05-24 12:24:49
59,81,Mortgage,370977.48,1.5,240,2023-03-12,2043-03-12,0.0,Closed,No,2023-03-07 04:48:45
60,82,Credit Line,2713.7,6.0,12,2020-04-27,2021-04-27,0.0,Closed,No,2020-04-22 13:19:36
61,82,Small Business Loan,74189.53,5.5,84,2024-04-26,2031-04-26,0.0,Closed,No,2024-04-25 11:55:06
62,85,Mortgage,452969.41,1.5,240,2023-06-20,2043-06-20,0.0,Closed,No,2023-06-19 17:30:19
63,86,Auto Loan,29138.79,3.8,48,2022-03-10,2026-03-10,0.0,Closed,No,2022-03-06 23:32:52
64,87,Student Loan,3991.66,2.9,120,2024-10-29,2034-10-29,3991.66,Active,No,2024-10-28 08:12:10
65,87,Auto Loan,23184.32,3.8,48,2021-01-26,2025-01-26,0.0,Closed,No,2021-01-20 12:24:41
66,87,Small Business Loan,135813.99,5.5,84,2022-08-06,2029-08-06,135813.99,Active,No,2022-07-31 02:38:40
67,87,Credit Line,6807.99,6.0,12,2022-07-03,2023-07-03,0.0,Closed,No,2022-06-29 21:08:02
68,87,Student Loan,38813.65,2.9,120,2020-04-15,2030-04-15,0.0,Closed,No,2020-04-08 16:28:32
69,90,Mortgage,75297.46,1.5,240,2023-09-08,2043-09-08,0.0,Closed,No,2023-09-06 03:33:42
70,91,Credit Line,2887.28,6.0,12,2025-03-09,2026-03-09,2887.28,Active,No,2025-03-03 13:31:23
71,92,Small Business Loan,78845.87,5.5,84,2021-12-07,2028-12-07,78845.87,Active,No,2021-12-01 23:15:09
72,93,Personal Loan,21954.36,4.2,60,2022-07-04,2027-07-04,0.0,Closed,No,2022-07-02 03:53:44
73,95,Personal Loan,31791.54,4.2,60,2020-05-06,2025-05-06,0.0,Closed,No,2020-05-02 00:42:28
74,95,Student Loan,15473.06,2.9,120,2024-11-27,2034-11-27,0.0,Closed,No,2024-11-20 06:33:20
75,96,Student Loan,16117.39,2.9,120,2022-02-22,2032-02-22,0.0,Closed,No,2022-02-19 05:33:32
76,99,Student Loan,29584.03,2.9,120,2021-10-04,2031-10-04,0.0,Closed,No,2021-10-02 18:12:56
77,101,Small Business Loan,237813.55,5.5,84,2023-06-28,2030-06-28,0.0,Closed,No,2023-06-25 12:57:09
78,101,Personal Loan,16589.34,4.2,60,2021-05-17,2026-05-17,0.0,Closed,No,2021-05-15 17:50:29
79,101,Small Business Loan,124496.23,5.5,84,2024-06-27,2031-06-27,0.0,Closed,No,2024-06-25 11:50:52
80,107,Small Business Loan,227424.77,5.5,84,2024-12-07,2031-12-07,0.0,Closed,No,2024-12-01 03:47:22
81,108,Mortgage,176548.11,1.5,240,2020-10-01,2040-10-01,176548.11,Active,No,2020-09-29 01:45:32
82,108,Small Business Loan,22021.93,5.5,84,2020-01-23,2027-01-23,22021.93,Active,No,2020-01-19 03:58:45
83,109,Credit Line,19570.71,6.0,12,2022-12-27,2023-12-27,0.0,Closed,Yes,2022-12-26 00:12:38
84,111,Credit Line,13317.77,6.0,12,2021-06-22,2022-06-22,0.0,Closed,No,2021-06-16 04:08:39
85,113,Credit Line,9375.49,6.0,12,2021-01-27,2022-01-27,0.0,Closed,No,2021-01-20 12:27:48
86,114,Auto Loan,95985.78,3.8,48,2020-11-05,2024-11-05,0.0,Closed,No,2020-11-04 14:44:17
87,115,Mortgage,355036.17,1.5,240,2023-09-28,2043-09-28,0.0,Closed,No,2023-09-22 02:17:14
88,115,Credit Line,14505.29,6.0,12,2022-12-07,2023-12-07,14505.29,Active,No,2022-12-03 07:38:13
89,115,Credit Line,9066.67,6.0,12,2024-06-21,2025-06-21,0.0,Closed,No,2024-06-20 02:24:54
90,116,Auto Loan,67391.79,3.8,48,2025-02-28,2029-02-28,67391.79,Active,No,2025-02-22 07:02:18
91,117,Mortgage,341357.22,1.5,240,2023-12-04,2043-12-04,341357.22,Active,No,2023-11-27 15:34:25
92,117,Personal Loan,20078.08,4.2,60,2021-03-06,2026-03-06,20078.08,Active,No,2021-03-02 18:51:50
93,120,Personal Loan,3581.67,4.2,60,2022-07-14,2027-07-14,0.0,Closed,No,2022-07-13 06:01:44
94,120,Personal Loan,5803.46,4.2,60,2023-09-12,2028-09-12,0.0,Closed,No,2023-09-07 16:09:01
95,120,Small Business Loan,189289.04,5.5,84,2024-05-22,2031-05-22,189289.04,Active,No,2024-05-15 20:39:55
96,121,Personal Loan,23382.3,4.2,60,2022-06-17,2027-06-17,0.0,Closed,No,2022-06-15 00:28:51
97,124,Auto Loan,32907.47,3.8,48,2021-05-30,2025-05-30,0.0,Closed,No,2021-05-27 01:26:20
98,124,Small Business Loan,67272.85,5.5,84,2025-01-02,2032-01-02,67272.85,Active,No,2024-12-31 21:22:40
99,126,Mortgage,493712.69,1.5,240,2020-09-25,2040-09-25,0.0,Closed,No,2020-09-21 21:04:15
100,127,Auto Loan,78645.88,3.8,48,2024-12-07,2028-12-07,0.0,Closed,No,2024-11-30 23:29:17
101,128,Small Business Loan,24951.75,5.5,84,2021-06-23,2028-06-23,0.0,Closed,No,2021-06-20 22:07:07
102,131,Auto Loan,48802.12,3.8,48,2023-11-04,2027-11-04,48802.12,Active,No,2023-10-30 10:15:10
103,134,Credit Line,1348.81,6.0,12,2021-08-08,2022-08-08,0.0,Closed,No,2021-08-01 19:28:27
104,134,Credit Line,13599.01,6.0,12,2021-01-08,2022-01-08,0.0,Closed,No,2021-01-02 12:33:20
105,144,Credit Line,14638.28,6.0,12,2025-01-27,2026-01-27,14638.28,Active,No,2025-01-26 06:57:55
106,144,Auto Loan,38604.39,3.8,48,2022-07-09,2026-07-09,38604.39,Active,No,2022-07-02 13:06:33
107,145,Student Loan,44529.08,2.9,120,2022-03-09,2032-03-09,0.0,Closed,No,2022-03-05 09:44:56
108,147,Student Loan,23787.69,2.9,120,2023-09-17,2033-09-17,0.0,Closed,No,2023-09-15 09:53:58
109,148,Auto Loan,46194.8,3.8,48,2025-01-11,2029-01-11,46194.8,Active,No,2025-01-09 09:52:47
