Fraud_ID,Client_ID,Transaction_ID,Fraud_Type,Detection_Date,Status,Resolved_Incidents
1,2,a7fcfbef-ccb8-48ae-9db7-dd75158c88a5,Identity Theft,2022-10-19,Under Investigation,0
2,3,f19dd8da-88a2-437f-87eb-ffd4052f360b,Phishing,2021-10-29,Under Investigation,0
3,3,e4c45390-2586-4b12-9032-4dc467a3f1c9,Card Fraud,2022-04-11,Resolved,1
4,3,5c7e97ae-a845-45e7-bf03-cf4193ad783d,Identity Theft,2023-03-02,Under Investigation,0
5,4,f53a40d9-7708-4669-a2a2-6037f256e0bb,Card Fraud,2025-05-19,Resolved,1
6,5,4cfaafee-3ea5-450c-bf17-567a0ecad80e,Card Fraud,2024-02-15,Resolved,1
7,5,ddf456b4-7a63-4b73-89ad-4ce77e48ff34,Money Laundering,2022-10-08,Under Investigation,0
8,5,a26b86f6-e391-40eb-a957-6133673435ed,Money Laundering,2024-03-03,Resolved,1
9,6,77e80cd0-398f-4578-886a-3543dfed8c4a,Account Takeover,2023-06-17,Under Investigation,0
10,6,f9331461-982f-4b80-b9bd-99a53179e932,Phishing,2025-01-01,Under Investigation,0
11,6,88f727f6-c6d0-4068-83c4-20200a1ac892,Identity Theft,2023-06-16,Resolved,1
12,6,5a3a36c2-2b51-4ac9-81ca-c8e5832dd4e9,Money Laundering,2024-06-24,Under Investigation,0
13,6,f0f4ccee-ba27-4c53-be65-bf603524eb36,Money Laundering,2025-01-17,Under Investigation,0
14,7,a58e71b0-c373-4946-b15b-fa6b12278821,Account Takeover,2025-05-25,Resolved,1
15,9,9e538a36-eb87-4911-85c3-938648af71be,Money Laundering,2024-12-03,Under Investigation,0
16,9,ee8d7e08-e297-483e-a994-296b1bcc45fc,Phishing,2025-03-25,Resolved,1
17,9,ca0dae06-c521-40e5-af33-693eb5e73f2d,Account Takeover,2024-10-18,Resolved,1
18,9,a0078eb8-610f-4bf0-9b87-3c697c71c9c1,Phishing,2024-12-27,Resolved,1
19,9,d680f8bb-45bd-4e74-a2b9-91e9bb5f76cd,Money Laundering,2025-01-07,Under Investigation,0
20,9,55785deb-cda4-4519-8d66-e9a034857c0d,Money Laundering,2024-09-28,Resolved,1
