Loan_ID,Client_ID,Loan_Type,Principal_Amount,Interest_Rate,Loan_Term_Months,Start_Date,End_Date,Outstanding_Balance,Loan_Status,Default_Status,Created_At
1,4,Personal,1571.08,4.2,60,2021-10-11,2026-10-11,0.0,Cerrado,No,2021-10-04 03:23:40
2,8,Personal,1827.15,4.2,60,2024-06-07,2029-06-07,0.0,Cerrado,No,2024-05-31 10:32:13
3,9,Automóvil,27772.94,3.8,48,2021-05-05,2025-05-05,0.0,Cerrado,No,2021-04-30 21:35:57
4,9,Automóvil,42266.19,3.8,48,2020-02-22,2024-02-22,0.0,Cerrado,No,2020-02-15 16:00:17
5,9,Personal,43852.1,4.2,60,2021-04-02,2026-04-02,0.0,Cerrado,No,2021-03-30 10:58:54
6,14,Línea de Crédito,5012.02,6.0,12,2022-01-14,2023-01-14,0.0,Cerrado,No,2022-01-08 10:06:59
7,15,Hipotecario,257498.09,1.5,240,2022-11-16,2042-11-16,0.0,Cerrado,No,2022-11-14 15:49:42
8,16,Automóvil,93370.65,3.8,48,2023-01-10,2027-01-10,0.0,Cerrado,No,2023-01-06 09:43:31
9,16,Hipotecario,270615.44,1.5,240,2023-05-03,2043-05-03,0.0,Cerrado,No,2023-04-29 04:41:45
10,17,Personal,27162.94,4.2,60,2022-12-05,2027-12-05,0.0,Cerrado,No,2022-11-30 18:35:14
11,18,Hipotecario,178977.71,1.5,240,2021-10-03,2041-10-03,0.0,Cerrado,No,2021-09-30 07:27:00
12,19,Hipotecario,451324.83,1.5,240,2022-08-31,2042-08-31,0.0,Cerrado,No,2022-08-26 17:04:02
13,21,Automóvil,43138.64,3.8,48,2022-08-07,2026-08-07,0.0,Cerrado,No,2022-08-06 04:56:50
14,29,Automóvil,12439.45,3.8,48,2023-07-30,2027-07-30,0.0,Cerrado,No,2023-07-25 19:23:45
15,30,Automóvil,41754.71,3.8,48,2024-11-28,2028-11-28,0.0,Cerrado,No,2024-11-26 12:41:04
16,32,Hipotecario,390754.76,1.5,240,2023-07-28,2043-07-28,0.0,Cerrado,No,2023-07-26 22:36:45
17,33,Personal,6654.63,4.2,60,2020-09-02,2025-09-02,0.0,Cerrado,No,2020-08-31 14:18:25
18,35,Automóvil,93158.4,3.8,48,2024-10-20,2028-10-20,0.0,Cerrado,No,2024-10-17 08:50:50
19,36,Hipotecario,252804.09,1.5,240,2023-09-26,2043-09-26,252804.09,Activo,No,2023-09-25 21:54:45
20,36,Línea de Crédito,11517.81,6.0,12,2022-09-06,2023-09-06,0.0,Cerrado,No,2022-09-04 11:14:36
21,41,Hipotecario,263508.57,1.5,240,2023-06-12,2043-06-12,263508.57,Activo,Sí,2023-06-05 19:10:37
22,42,Personal,39109.7,4.2,60,2024-03-03,2029-03-03,0.0,Cerrado,No,2024-02-25 05:27:40
23,44,Automóvil,69434.63,3.8,48,2021-08-31,2025-08-31,0.0,Cerrado,No,2021-08-25 16:52:14
24,44,Línea de Crédito,8955.66,6.0,12,2024-07-16,2025-07-16,8955.66,Activo,No,2024-07-11 02:09:19
25,45,Automóvil,61568.17,3.8,48,2025-03-22,2029-03-22,0.0,Cerrado,No,2025-03-15 05:03:45
26,48,Línea de Crédito,17923.2,6.0,12,2022-06-09,2023-06-09,0.0,Cerrado,No,2022-06-08 10:22:10
27,48,Automóvil,63563.2,3.8,48,2024-03-17,2028-03-17,0.0,Cerrado,No,2024-03-11 20:10:58
28,49,Automóvil,28696.12,3.8,48,2020-11-06,2024-11-06,0.0,Cerrado,No,2020-10-31 09:51:07
29,49,Personal,34536.1,4.2,60,2023-05-13,2028-05-13,0.0,Cerrado,No,2023-05-06 13:48:39
30,53,Automóvil,71697.54,3.8,48,2020-08-16,2024-08-16,0.0,Cerrado,No,2020-08-14 16:30:27
31,55,Personal,32429.23,4.2,60,2024-09-20,2029-09-20,0.0,Cerrado,No,2024-09-16 14:09:51
32,56,Línea de Crédito,7028.77,6.0,12,2023-06-01,2024-06-01,0.0,Cerrado,No,2023-05-31 02:14:04
33,60,Hipotecario,191817.44,1.5,240,2021-12-22,2041-12-22,0.0,Cerrado,No,2021-12-17 04:11:56
34,61,Línea de Crédito,11652.77,6.0,12,2024-08-16,2025-08-16,11652.77,Activo,No,2024-08-15 01:39:22
35,63,Hipotecario,95109.31,1.5,240,2023-01-04,2043-01-04,0.0,Cerrado,No,2022-12-28 22:48:33
36,65,Línea de Crédito,16850.68,6.0,12,2021-12-31,2022-12-31,0.0,Cerrado,No,2021-12-27 18:19:40
37,65,Automóvil,40034.22,3.8,48,2022-08-24,2026-08-24,40034.22,Activo,No,2022-08-18 23:55:38
38,65,Hipotecario,497994.99,1.5,240,2025-04-29,2045-04-29,0.0,Cerrado,No,2025-04-25 20:42:07
39,66,Automóvil,48655.87,3.8,48,2023-04-17,2027-04-17,0.0,Cerrado,No,2023-04-15 18:48:15
40,66,Línea de Crédito,1057.02,6.0,12,2022-11-10,2023-11-10,0.0,Cerrado,No,2022-11-08 08:36:37
41,67,Automóvil,99887.7,3.8,48,2020-08-18,2024-08-18,99887.7,Activo,No,2020-08-14 07:21:21
42,69,Personal,5864.05,4.2,60,2024-01-14,2029-01-14,0.0,Cerrado,No,2024-01-08 17:24:14
43,70,Hipotecario,407389.17,1.5,240,2020-12-24,2040-12-24,0.0,Cerrado,No,2020-12-22 23:26:45
44,71,Personal,16783.57,4.2,60,2023-04-26,2028-04-26,0.0,Cerrado,No,2023-04-23 13:33:40
45,71,Automóvil,44709.44,3.8,48,2020-02-17,2024-02-17,0.0,Cerrado,No,2020-02-13 03:44:16
46,75,Automóvil,76262.77,3.8,48,2020-10-13,2024-10-13,76262.77,Activo,No,2020-10-09 11:39:23
47,75,Línea de Crédito,18430.95,6.0,12,2020-07-18,2021-07-18,0.0,Cerrado,No,2020-07-11 12:03:08
48,76,Hipotecario,240382.27,1.5,240,2023-11-01,2043-11-01,0.0,Cerrado,Sí,2023-10-25 17:18:16
49,80,Personal,33589.84,4.2,60,2022-03-03,2027-03-03,0.0,Cerrado,No,2022-02-25 22:07:48
50,82,Línea de Crédito,18031.97,6.0,12,2024-04-02,2025-04-02,18031.97,Activo,No,2024-04-01 20:34:22
51,83,Hipotecario,325399.0,1.5,240,2024-02-03,2044-02-03,0.0,Cerrado,No,2024-02-02 01:10:56
52,84,Línea de Crédito,17789.28,6.0,12,2020-05-13,2021-05-13,0.0,Cerrado,No,2020-05-12 01:43:32
53,85,Línea de Crédito,16211.93,6.0,12,2020-07-10,2021-07-10,0.0,Cerrado,No,2020-07-08 18:11:51
54,88,Hipotecario,124731.44,1.5,240,2020-09-10,2040-09-10,0.0,Cerrado,No,2020-09-09 21:54:08
55,89,Línea de Crédito,6942.61,6.0,12,2023-12-07,2024-12-07,0.0,Cerrado,No,2023-12-02 19:30:34
56,89,Hipotecario,146118.9,1.5,240,2025-01-17,2045-01-17,146118.9,Activo,No,2025-01-15 10:48:55
57,91,Línea de Crédito,13343.77,6.0,12,2022-03-05,2023-03-05,0.0,Cerrado,No,2022-02-27 00:44:15
58,92,Automóvil,90709.6,3.8,48,2025-03-12,2029-03-12,0.0,Cerrado,No,2025-03-05 02:35:58
59,92,Automóvil,90636.11,3.8,48,2020-06-24,2024-06-24,90636.11,Activo,No,2020-06-21 01:01:26
60,92,Personal,14226.48,4.2,60,2023-03-25,2028-03-25,0.0,Cerrado,No,2023-03-23 06:18:07
61,93,Personal,23010.98,4.2,60,2022-12-15,2027-12-15,0.0,Cerrado,Sí,2022-12-08 16:18:02
